"OTU"	"RL725.mf"	"RL704.mf"	"RL703.mf"	"RL700.mf"	"RL693.mf"	"RL691.mf"	"RL686.mf"	"RL683.mf"	"RL682.mf"	"RL680.mf"	"RL679.mf"	"RL668.mf"	"RL667.mf"	"RL665.mf"	"RL663.mf"	"RL659.mf"	"RL656.mf"	"RL654.mf"	"RL651.mf"	"RL641.mf"	"RL628.mf"	"RL627.mf"	"RL625.mf"	"RL621.mf"	"RL619.mf"	"RL616.mf"	"RL613.mf"	"RL610.mf"	"RL607.mf"	"RL606.mf"	"RL605.mf"	"RL601.mf"	"RL591.mf"	"RL585.mf"	"RL573.mf"	"RL569.mf"	"RL568.mf"	"RL528.mf"	"RL518.mf"	"RL516.mf"	"RL514.mf"	"RL511.mf"	"RL509.mf"
"11"	"Enorma"	0.000240660499552167	0.00013652110104268	0	0	0	6.06545842734794e-06	0.000130368589566535	1.96480059729938e-05	0	0	0	0	0	0	0	0	0.000173994613731958	0	0.00014426532228873	0	0.00078501607829227	0	0	0.00148685769007837	0	0	0.000380326472243774	0.000104233622292097	0	0	0	0	0	0	0	0	0	0	0.00114052464133501	0	0	0	0
"12"	"Adlercreutzia"	0.000265634702335883	0	0	0	5.11319331705633e-05	4.85236674187835e-05	0	0	0	0	0	0	0	0	0	2.13604468605483e-05	0	0	0.000364597814511518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"13"	"Asaccharobacter"	0.000147574834631046	0	0	0	0	4.04363895156529e-05	0	0	0	0	0	0	0	0	0	6.7641415058403e-05	0	0	0.000264923591839304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"14"	"Eggerthella"	0.000731063026941489	0	0.000135218192993239	0	0	8.08727790313059e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"15"	"Enterorhabdus"	9.08152828498744e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16"	"Gordonibacter"	0.00062208468752164	0	9.8340503995083e-05	0	0.000792544964143732	6.06545842734794e-06	0	0	0	0	0	0	0	0	0	0	0.000219384512966381	0	0.000369843826231108	0	0	0.0003519774734417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0012605798667387	0	0	0	0
"17"	"Slackia"	0.000745820510404593	0	0	0.00269687162891046	0	0	0.0133196925068996	0	0.00018308311973636	0.000167765128819652	0	0	0	0	0	0.000103242159825984	0	0	0	0	0.00766408289769787	0	0	0	0.00588627950725165	0	0.0133266395874218	0	0	0	0.00562392725413578	0	0	0.000340912459609285	0.00410516749710131	0	0	0.000545665370711411	0.034005642595594	0	0	0.00209378368987054	0
"18"	"Bacteroides"	0.379244621181075	0.502901073397157	0.300307314074985	0.007373424849153	0.121054851781309	0.253008467379965	0.00508879426731748	0.0652903238482584	0.0572265522833081	0.0226674655482325	0.178772816957595	0.275710559911028	0.11660740791881	0.0604172960135001	0.0297369794511403	0.121480421370415	0.0973688988410446	0.0647121790447753	0.119278568468322	0.153164376008332	0.391641613993057	0.1918213234353	0	0.0294347420679922	0.0467665918239375	0.0475054318029525	0.0297719562472426	0.0913607699390233	0.0433337641476339	0.134593973022797	0.0621918708687872	0.00326767945620572	0.415870364456672	0.185604600835977	0.090689730813826	0.154329838396511	0.0721496231763811	0.058897755951163	0.0247013626268083	0.00918490021639817	0.214859616353879	0.0252412306102266	0.139397026814245
"19"	"Barnesiella"	0.0192619214924584	0	0.00154886293792256	0.002175278874308	0.00212197522657838	0.0124220588592086	0	0	0	0.00116476932294787	0.011310094987547	0.0113329312896985	0	0.000500005208387587	0	0.00600940571676759	0.00994795291554453	0	0.00444599493235268	0	0	0	0	0	0	0.00669076288911	0	0	0.00799468252063293	0	0	0	0	0	0	0	0.00829703381041278	0	0	0	0.028106377301432	0	0
"20"	"Coprobacter"	0.000655005227554719	0	0	0	0	0	0	9.82400298649691e-06	0	0	0.00475476824547974	0	0	0.00122917947061949	0	0.000833057427561385	0	0.000732404681756081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"21"	"Butyricimonas"	0	0.00834485230123381	0.000565457897971727	0	0.00102263866341127	0.012446320692918	0	0.0030110569153613	0	0.000301977231875374	0.00787070480544265	0.00124529099866072	0	0.00148959884998802	0	0.00696350567653875	0	0.00579585627966591	0.00751228878245314	0	0	0	0	0	0	0	0.00220589353901389	0.000972847141392909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"22"	"Odoribacter"	0.0103949443132037	0.00803767982388778	0	0.00213378854155553	0.0113129402139871	0.0139869471334643	0.000176770968903777	0.000756448229960262	0.00521133022963854	0.00306770521270222	0.0066200174664956	0.00932010244280668	0.00505137675906429	0.0139897290596777	0.00199055699183143	0.0191532006849583	0	0.000915505852195101	0.0230614675193184	0	0.000878055020904687	0	0	0.00559461707114236	0.0002629609401865	0.0243162020021524	0.00486817884472031	0.00255372374615639	0.0074961688299699	0.00417982368080019	0.019428112332469	0	0	0.0019861856342454	0	0.00867013173223407	0.00867731452672336	0.0191323920605689	0	0	0.0172848290788342	0	0.00152827305145186
"23"	"Paraprevotella"	0	0.00969299817403027	0	0.000497883993029624	0.00351532040547623	0.00566311635166719	0.000225382985352316	0.00180761654951543	0.0101676518282157	0.00109766327142001	0	0.0044329226744778	0.00385469524894427	0	0.0132663340979985	0	0	0	0.00755163387035007	0	0.0025527559879282	0	0	0	0	0.00824415700448758	0	0.000451679029932422	0	0.00633361928924745	0	0.00107284713975677	0	0.00823377701360685	0.0039484817147692	0	0	0	0.0201692778678192	0	0	0	0
"24"	"Prevotella"	0.0368721400280846	0	0.000245851259987707	0.181603186457555	0.00337470758925718	0.266113901221988	0.547693912228795	0.0664888522126111	0.200456400062771	0.12956261234272	0.0524102685743243	0	0.0668645793779557	0.133251388035292	0.446600881185595	0.050189929973335	0.177746845402003	0.0285144861195228	0	0.257847121530827	0	0	0.62886388286334	0.417857412867619	0.366749600501649	0.374520275346722	0.147764440996151	0.250386533016	0.0663115525931944	0.466095971672112	0.11163860789541	0.646132427009541	0	0.247117066374174	0.0950299269844254	0	0.151455438014243	0.418116090307619	0.000540248514316586	0.269511901899495	0.0869874588632927	0.453183887666278	0.0996156161719076
"25"	"Alistipes"	0.0444915422591891	0	0.0363245236631838	0.00559526773119006	0.0352426849378108	0.0400259601620691	0	0.0050691855410324	0.0116650102003452	0.00213780707010186	0.0218870284315734	0.0632670483470524	0.0181458340524929	0.0145522349191137	0.0405029797667164	0.0010181813003528	0	0.00128875054578233	0.0479590391404934	0	0	0	0	0	0.013370552420252	0.0134525960972242	0.04276390853909	0.00125080346750517	0	0	0.00120512726874338	0	0.0235410679047221	0.000592891234103104	0.00149634922127166	0.0130313349463811	0.055832123349236	0.025475751995089	0	0	0.035933469714489	0	0.108553697957671
"26"	"Parabacteroides"	0.011325800962415	0.106375535418693	0.00776889981561155	0.0102658937610394	0.0198264070868859	0.0363462487161446	0.00114017274942936	0.00535408162764082	0.0121815661453157	0.00597723187537448	0.0204638324941509	0.0173635858115146	0.0247390889111349	0.0191876998718737	0.0139217614001869	0.00818105114759001	0.0190108027960178	0.0147326018676319	0.0221565304976891	0.0238323769068965	0.00643713184199662	0	0	0.0268138403770066	0.00671561785707062	0.0100006091741629	0.0174950177232136	0.0402862950158956	0.159201270286738	0.00629711427893478	0.0319541321257715	0.00055689775193481	0.00232544809910994	0.0242047846322592	0.00180972078593588	0.0468978701795262	0.00375095070179078	0.0197121615169497	0.02215018908698	0.00497715797066603	0.0405289216994278	0.00440140060764276	0.00833603482610105
"27"	"Chlamydia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000316846628431467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"28"	"Gemella"	0	0.00165531835014249	0.0836877688998156	0.00152921512144813	0.0140868475884902	0.000331578394028354	0	0.00241670473467824	0.000523094627818172	0.00355662073097663	0.00504587650540707	0.000227128546925541	0.0133706145649948	0.006364649631767	0.00854483001371542	0.00180139768523958	0.00061276363966472	0.00876772912294539	0.0952780648511969	0.0145199828455899	0.000174448017398282	0.000639959042621272	0	0.0153725964567425	0.0108016263122762	0.00145186508822872	0.00290569424794243	0.0116567934263329	0.00723768024962611	0	0.0540846510608772	0	0	0.000489135268135061	0	0	0.0304224573048468	0	0	0.00656407790334215	0.0460731121586765	0.00556857364327272	0
"29"	"Granulicatella"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00118559864862738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"30"	"Enterococcus"	0.000406398390753188	0	0.0153411186232329	0	0	0	0	0.000722064219507523	0	0.0108328340323547	0.00117521482711404	0.000328944792099059	0.00102408321539117	0	0.00381118838679921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000384845284007631	0.00321643494500934	0.000117514336749083	0	0	0	0	0.00437605193556143	0	0	0.00602046959662854
"31"	"Lactobacillus"	0.00165737891201021	0	0.000282728948985864	0.0138222079969653	0	0.000345731130358833	0	0	0.00919338808390438	0.0037771120431396	0.000355798984355626	0	0	0	0	0	0.0100765576300421	0.00321131283539205	0.00159478756275542	0	0	0.00913861512863177	0	0.000126004888989693	0	0	0	0.00114656984521307	0.000323110725429737	0	0	0.0403423283239835	0	0	0	0	0	0	0	0	0	0	0
"32"	"Pediococcus"	0	0	0	0	0	0	0	0	0	0.000325943678849611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"33"	"Sharpea"	0	0	0	0	0	0	0.00110481855564861	0	0	0.000819652486518874	0	0	0	0	0	0	0	0	9.96742226722135e-05	0	0.000831535549598479	0	0	0.00788790605075477	0	0	0	0	0	0	0	0.000450432005241391	0	0	0	0	0	0.00211445331150672	0	0	0	0.000383117866657163	0
"34"	"Weissella"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00040053890689291	0	0	0	6.81981523546724e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"35"	"Lactococcus"	0	0	0	0	0.00640427462961306	0	0	0	0	0.00115997603355303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00098568167669641	0	0	0	0	0	0.0264486655446021	0	0	0
"36"	"Streptococcus"	0.000821878309791363	0.0168688885475861	0.0460356484326982	0.0104318550920493	0.0223574377788288	0.00222400142336091	0.00802540198823147	0.00277528084368538	0	0.0435614140203715	0.00226417535499035	0.00196583673373485	0.00773240360385239	0.00264586089438432	0.0120404422920536	0.0022998081119857	0.0132614155596575	0	0.0421779342255051	0.0359834174035575	0.0191602072442447	0.00103033405862025	0.00501626898047722	0.0557445628890401	0.00161822117037846	0	0.0094625226294251	0.00905095286903045	0.0190912280053913	0	0.0279735602381039	0.000458621678063961	0	0	0.000712920309611106	0.00210592346984497	0.0488487865588052	0.00180751654048155	0	0	0.00984316167096564	0	0
"37"	"Butyricicoccus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00220556701451998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"38"	"Clostridium"	0.0142784328460715	0	0.0175414874001229	0.00151736074066171	0.0063531426964425	0.00115445892067189	0.000461814156261117	0.0044502733528831	0.00545980017785217	0.00190293588975434	0.0201403788720094	0	0.0190088255261371	0.0050313024094001	0.00122589180594497	0.00126738651372587	0.000900233001482737	0.262299469006606	0.109788533267583	0	0	0.00138231153206195	0	0.00698067085002898	0	0	0.0179970486665754	0.000191094974202178	0	0	0.0605119964941752	0.000491380369354244	0	0.0304079091690629	0.0157782582808436	0.0106341667413448	0.00667219802254028	0	0.00225103547631911	0.0250540995431594	0.000266832695899671	0	0.00393646089010327
"39"	"Hungatella"	0.000129411778061071	0	0.00365089121081746	0	0	0	0	0	0	0	0	0.000548241320165099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"40"	"Clostridiales_Family_XIII_Incertae_Sedis_unclassified"	6.92466531730292e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000126762348765476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"41"	"Mogibacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00136134004123365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"42"	"Clostridiales_unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00592150120060475	0	0	0	0	0	0.00641981245491705	0	0	0
"43"	"Intestinimonas"	0	0	0	0	0	0	0	0.000171920052263696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"44"	"Lawsonibacter"	0.000127141395989824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.47615640119191e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"45"	"Anaerofustis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000995278495915717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"46"	"Eubacterium"	0.0982496489421722	0.033976689021997	0.0588936693300553	0.135993456381806	0.0318424113819683	0.0276402940534246	0.0306587149192488	0.0541351684570912	0.0487458806298059	0.0408388256440983	0.0479142632265577	0.0572598898818148	0.103213780247851	0.0436983718580402	0.0481981817961136	0.0950112676357189	0.0545057039973371	0.172502429611685	0.0604471700389779	0.0156227663528499	0.0377098464275953	0.0889735056956355	0	0.0577102391572793	0.0547767866173109	0.0862793672711028	0.121263292410205	0.0986571234994701	0.0542456749321467	0.0175771624655484	0.178395354782164	0.0356742148151181	0.00338172558074791	0.0360922538760264	0.160125035254301	0.0561654270095887	0.0609486275323239	0.033797148898438	0.0784260759949577	0.0694157249338783	0.0685463547688932	0.0425528123524328	0.163756773028296
"47"	"Mageeibacillus"	8.51393276717572e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"48"	"Anaerostipes"	0.0135587217294862	0.00601546101469308	0	0.0100525149068838	0.00611026601388232	0.00217345593646634	0.00447672478748815	0.00274089683323264	0.000300779410995449	0.00277531455961654	5.39089370235798e-05	0.00836459614194751	0.00331388725879388	0.00261461056886009	0.00808360339365692	0.00484882143734447	0.00439525524253336	0	0.0285120736959726	0.00359425735699553	0.0901431055236057	0.0241712530398055	0	0	0.00538058539150838	0	0	0	0.00150477280700135	0.00907149506269735	0	0	0.0225912369910012	0	0.0215051236250823	0	0.00406208946968126	0	0	0.00278913200288531	0	0.000409847020144872	0
"49"	"Anaerotignum"	0	0	0	0	0	0	0	0.00163078449575849	0	0	0	0	0	0	0	0	0.000105909764880322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"50"	"Blautia"	0.0565336487650824	0.0373982491168791	0.0657529194837124	0.0682990149009566	0.173043244832479	0.0385480101252719	0.0480132047913771	0.0655015399124681	0.0203483810221269	0.0234535650089874	0.0267172691888861	0.0518088047556019	0.0774045819093974	0.09143845248388	0.0108145504861086	0.0871185825207463	0.0270069900444821	0.135945576698263	0.12096778424203	0.195008883533808	0.0275860464845817	0.0180148470497888	0.0130151843817787	0.084902094201255	0.0345894775168396	0.0680752127033119	0.0263946571737179	0.0221843892778347	0.128588836986023	0.0757844014090934	0.0850892889749114	0.0203677163097334	0.17824887207579	0.0268060949218866	0.0088762495691141	0.0078113331541058	0.0599460692802323	0.0359798103812837	0.188996938591752	0.0282038951671075	0.0341842331524801	0.0380088562595223	0.0131060991988144
"51"	"Butyrivibrio"	0.036364709635161	0	0	0.0501381035361618	0	0	0	0	0.0779607155934509	0.00215698022768125	0.00381675274126945	0	0	0	0	0	0	0.00584515274863026	0	0	0	0	0.0453497830802603	0	0	0	0	0	0	0	0	0	0	0.0660110277769543	0	0	0.00758832883910669	0	0	0	0.0403806813128169	0	0.0308896401611633
"52"	"Coprococcus"	0.030639941242512	0.0729449308008669	0.0499692685925015	0.032854416349562	0.143310025693796	0.0213059336357975	0.00682335939968579	0.0675842285456055	0.103978134644557	0.0244409826243259	0.0301135322213717	0.0133300960988714	0.0160631479627648	0.0893342638985823	0.106494799062982	0.145977293844987	0.0406542197476322	0.105487401231003	0.0545113077782616	0	0.00689651162114543	0.0264623064123896	0.0133541214750542	0.0308711978024747	0.0645063414042114	0.0667553353503767	0.0399342795855963	0.0647290794433925	0.158250401580473	0.0281818679613777	0.0764342840448453	0.0332255026411695	0.0986350274714027	0.00791509797527644	0.0394378114129924	0.0454192430624011	0.0786316808407661	0.0297046586181024	0.0359265262020529	0.0541235874008175	0.0359038216371668	0.00490925452390923	0.0122261844116149
"53"	"Dorea"	0.0558582100988865	0.0224235908462602	0.050878918254456	0.0463802648268668	0.0491633537434967	0.0254486417416762	0.0241535432635898	0.0874729225917685	0.0284301930219177	0.0185883762732175	0.0230514614712827	0.0289549737235767	0.0411129138044116	0.0484692548880718	0.000837490441685176	0.0603076616362814	0.045526068932127	0.045845716136847	0.0372178301446325	0.039210080258133	0.0209337620877939	0.016786125687956	0.00806670281995662	0.0494443184395555	0.0179015716973117	0.0205393221922148	0.0300914304839274	0.0125948960269618	0.118858588283082	0.0211729059813459	0.0304203337837344	0.0153474468694976	0.0428897786730207	0.0173791242996472	0.0282739494218295	0.0386832750843863	0.0142432413745419	0.0207693881727031	0.104147908037697	0.0432075018033181	0.0941622935752617	0.0100501617113786	0.00606678090121799
"54"	"Eisenbergiella"	5.22187876386778e-05	0.0013652110104268	0.00211432083589428	0	0	0	0	0	0	0	0.00380597095386473	0	0.00186406158307156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00231725990157787	0	0	0	0	0	0	0	0	0	0
"55"	"Fusicatenibacter"	0.0238208486915221	0.00802914725507261	0.00912108174554395	0.013899261472077	0.0472842551994785	0.0143043727911622	0.00813367420668504	0.0123192997450671	0.00608097504838625	0.011230677052127	0.0235797690541138	0.0269108168012469	0.0167995673536079	0.0370003854206815	0	0.0175974481386151	0.0239658667957757	0.00169720700291553	0.00502567922736739	0.0146629362631977	0.147937733687657	0.0452387047228977	0	0	0.0188927321641685	0.00172599346153065	0.0177536397243394	0.00350919861716728	0.0243440852273776	0.010695968021611	0.000766899171018515	0.00728880881208796	0.0421528408951338	0.00904900246049862	0.0251950737990035	0.0196179466499388	0.0229378413883703	0.0206670759156947	0.00246113212077556	0.00807886511180572	0.000711553855732456	0.00581804574249133	0
"56"	"Lachnoclostridium"	0.000398452053503824	0.0338572330585846	0.00553165334972342	0	0	6.06545842734794e-06	0	0.00268195281531366	0	0	0	0	0	0	0	2.13604468605483e-05	0	0	0	0.000265484918414442	0	0.00108793037245616	0	0	0	0	0	0	0	0	0	0	0.0369123944746043	0	0	0	0	0	0	0	0	0.000418756737974108	0
"57"	"Lachnospira"	0.00159721378712217	0	0	0.0468425856775371	0	0.0112817526748672	0	0.0264953360545822	0	0.00765967645296585	0.00735317901001628	0.0269029847823874	0.00319882172897465	0.0014583485244638	0	0	0.00279147880291706	0.0149649995070353	0.0213827437690496	0.0354728694835297	0	0	0	0	0.0307057467079313	0.00849797957235974	0.00789557756378075	0.0464881955422754	0	0.00177049300016427	0	0.000638794480160518	0.0146323089898221	0.0157412622654374	0	0.00710935866415748	0.00653391412570006	0	0	0.0286847799951912	0	0.00653973288665948	0.00115778261473626
"58"	"Lachnospiraceae_unclassified"	0.000543756506063623	0	0.0140749846342963	0.108177151866472	0	0.0234753459333123	0.000713712786948999	0.0934213564000923	0.00831720458230894	0.229042540443379	0.0759361286914145	0.236902906462199	0	0.174053896394754	0.0786027260920754	0.0608665933291324	0.124723878112991	0.0154861336075156	0	0.163885882328915	0	0.0225649558428261	0.0027114967462039	0.0204379929941282	0.0579323178995489	0.0348447621174894	0.0825460575357887	0.112468078453173	0.104863278004468	0.00531147900049282	0	0.013144424880226	0	0.0516037707882489	0.107314092319263	0.0127998327209726	0.0445965567309687	0.0762567355569197	0	0.132555902861265	0.00219395772184174	0.029366429965163	0.0409855045616635
"59"	"Roseburia"	0.0270674950534051	0.0302308913121384	0.0356976029502151	0.142762307810852	0.104283577701364	0.0766067399374045	0.0871790225891202	0.169257747454355	0.277926714442643	0.264512881965249	0.078383594432285	0.0888855820364815	0.159733968495058	0.0405941728559673	0.023765308475646	0.16635516014995	0.0792280691136866	0.0771137621656643	0.0373279963907439	0.00518716686748218	0.0820312727145856	0.234980161269679	0.161605206073753	0	0.092865667415094	0.0389668406197332	0.11301781449196	0.0628876187828987	0.022433116079836	0.112252906711446	0.0150458313552204	0.0632897915728267	0	0.0948329528947914	0.178903826266805	0.348358574543717	0.214720320818641	0.114453311506719	0.0806170838585749	0.147992305842751	0.0972753416940911	0.0601762342186623	0.0667345899133979
"60"	"Sellimonas"	0	0	0	0	0	0	0	0.000250512076155671	0.000241931265365905	0	0	0	0	0	0	0	0.00153569159076467	0	0	0	0	0.00079994880327659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"61"	"Oscillibacter"	0.00560897890701537	0	0	0.000889078558981472	0.000434621431949788	0.00360692594479624	0	0	0.00845451692211121	0.00471659676452966	0.00457147785959956	0.00149591560216477	0.0448180238645909	0.0110417816852259	0.00479432934008181	0.00788200489154233	0	0.000788743503429626	0.00432009065108251	0	0	0	0.0056263557483731	0	0	0.0233618291469531	0.050644273043981	0.00503795841078471	0	0.00164272546406994	0.0243581784318738	0.0012038819049179	0	0.00018527851065722	0.000932280404876062	0.00500343519431251	0.0151420867040033	0.00436532296569129	0.00636292694639534	0.00418369800432796	0.00447685967565003	0	0.0209327096744315
"62"	"Intestinibacter"	0.00190258017570487	0	0.00519975414874001	0.0060398070106808	0	0	0	0	0	0	0.032000345017197	0.00227128546925541	0	0.000906259440202502	0.00149291774387358	0	0	0.00018310117043902	0	0	0	0.00222065787789581	0	0	0	0.000395963205880561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0336505677606807	0.0148257704678493	0
"63"	"Peptostreptococcus"	0.000123735822882954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"64"	"Romboutsia"	5.33539786743012e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"65"	"Agathobaculum"	9.08152828498744e-05	0	0.00844499078057775	0.00125656436336048	0	0.000723811372330187	0.00143847375945448	0.00962261092527372	0.000431553067949992	0.000838825644098262	0	0.000242792584644544	0.000391222801385389	0.00138543109824061	0	2.84805958140644e-05	0.00203498048234333	0	0.000207217462923812	0	0.00255857092184147	0.0066875719953923	0	0	0	0.00739131317643714	0.0125964127607138	0.00185883293087574	0	0.00178874550532061	0.00138772230946207	0.00516768355104214	0.000728749580354876	0	0.00846886653505061	0	0	0	0.0270124257158293	0.000360663621062755	0	0.00219179058599214	0
"66"	"Anaerotruncus"	0	0.00190276284578235	0.00183159188690842	0	0	0	0	0.000943104286703703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00074678137228545	0	0	0	0	0	0	0
