"OTU"	"RL725.mf"	"RL704.mf"	"RL703.mf"	"RL700.mf"	"RL693.mf"	"RL691.mf"	"RL686.mf"	"RL683.mf"	"RL682.mf"	"RL680.mf"	"RL679.mf"	"RL668.mf"	"RL667.mf"	"RL665.mf"	"RL663.mf"	"RL659.mf"	"RL656.mf"	"RL654.mf"	"RL651.mf"	"RL641.mf"	"RL628.mf"	"RL627.mf"	"RL625.mf"	"RL621.mf"	"RL619.mf"	"RL616.mf"	"RL613.mf"	"RL610.mf"	"RL607.mf"	"RL606.mf"	"RL605.mf"	"RL601.mf"	"RL591.mf"	"RL585.mf"	"RL573.mf"	"RL569.mf"	"RL568.mf"	"RL528.mf"	"RL518.mf"	"RL516.mf"	"RL514.mf"	"RL511.mf"	"RL509.mf"
"1"	"Methanobrevibacter"	0.00670670863846322	0	0	0.0186113778346788	0.0103542164670391	0	0	0	0	0.0055122828040743	0	0	0	0.0388858217273097	0	0	0	0	0	0	0	0	0.00467733188720174	0	0	0	0	0.00668832409707625	0	0	0	0	0	0.00212699730234488	0	0	0	0	0	0.00764606876653042	0	0	0.0269994905756495
"2"	"Methanosphaera"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00985813897571532	0	0	0
"3"	"Actinomyces"	0.000101032002170485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4"	"Aeriscardovia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5"	"Bifidobacterium"	0.000630031024771004	0	0	0	0	0	0	0	0.00393628707433175	0	0	0	0.011690657829634	0	0.00411462695262717	0	0.0126335219535813	0	0	0	0.00936204360037448	0.0204786893638807	0.0164723427331887	0	0	0.00752330091173066	0	0	0.0025848858034379	0	0	0	0	0	0.00167653787095359	0	0	0	0	0	0	0	0.0106516000555736
"6"	"Gardnerella"	1.24871013918577e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"7"	"Corynebacterium"	2.72445848549623e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"8"	"Atopobium"	0.000316718298938937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"9"	"Olsenella"	7.94633724936401e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000544678790813084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"10"	"Collinsella"	0.0130774007303819	0.0303759449819963	0	0.0038052562324407	0.020286594485421	0.00360692594479624	0.0658825401104377	0.00839952255345486	0.019674896688811	0.0133684841222289	0.0154287377761485	0.00421362614641176	0.0465209937059155	0.0113542849404681	0.00822925390525434	0.00240305027181169	0.0994568342058281	0.000169016465020634	0.0156672140005561	0	0.105558495327701	0	0.00155911062906725	0.0829364179330158	0.0380281975038938	0.0440737506853209	0.0460499292592762	0.0167989854594097	0.0294584664241798	0.0133973387847482	0.0816199832012563	0.0189509029114287	0.00991590721134557	0.00589185663889959	0.00756792328664097	0	0.0140358155292816	0.0334902121274129	0.122846509394321	0.0250781437845636	0.00308340004150731	0.00693176047114588	0.0408465706478952
