NASH	Control	NASH	NASH	NASH	Control	NASH	Control
RL518-mf	RL585-mf	RL601-mf	RL606-mf	RL641-mf	RL654-mf	RL663-mf	RL686-mf
0	0	0	0	11.4441	0	8.55765	10.9527
0	18.1288	80.0757	6.17028	47.5615	35.0792	0	219.021
132.316	148.957	238.398	66.7089	186.828	72.2541	54.8468	534.369
60.1768	70.4971	93.3555	44.3273	90.2232	31.4825	34.863	280.02
0	0	2.95064	0	0	0	0	0
0	0	0	0	0	0	0	0
250.978	287.369	390.631	115.989	243.038	150.595	64.4528	941.465
13.037	9.64395	5.28576	0	23.9317	0	0	9.51685
22.6564	7.28368	10.8511	26.6714	10.1833	3.67568	34.5547	27.4169
0	0	0	0	0	0	0	0
0	0	4.31662	0	0	0	0	60.2086
19.0141	5.91644	4.71445	8.54235	0	6.77904	0	0
0	0	0	0	0	0	0	0
19.744	28.7779	0	23.2886	22.0831	0	0	0
101.917	123.34	181.065	35.8806	142.595	74.0463	36.3328	418.307
289.952	251.916	386.225	102.64	294.47	89.5029	35.3452	1309.19
193.411	139.977	394.332	114.922	138.647	61.0756	41.9451	579.925
0	0	0	0	0	0	0	0
0	29.9454	7.35176	28.082	54.4369	0	0	70.8039
13.7448	30.5028	0	2.54723	22.7947	0	0	22.2878
0	2.36272	0	0	5.65648	0	0	9.13595
0	0	0	0	0	0	0	0
7.57723	35.8633	80.1792	32.0915	45.4055	27.6346	12.4044	201.111
0	0	0	0	0	0	0	0
15.6711	0	13.4687	0	14.3306	32.2898	0	102.422
0	2.26575	0	0	0	0	0	3.13917
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	31.5039
0	10.4755	0	0	0	11.6101	0	0
0	0	0	0	0	0	0	28.5674
10.165	0	0	0	7.49735	0	0	7.34227
4.74128	0	60.2143	0	39.498	7.8642	12.513	10.0941
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
151.902	114.291	243.23	112.547	233.702	61.7046	148.222	249.97
48.9919	13.3129	5.9003	6.07745	0	3.36957	0	10.5443
8.4947	5.11313	0	0	0	0	0	0
6.31129	12.889	9.4405	3.93628	0	7.36312	0	19.2623
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
