RL509-mf	RL511-mf	RL514-mf	RL516-mf	RL518-mf	RL528-mf	RL568-mf	RL569-mf	RL573-mf	RL585-mf	RL591-mf	RL601-mf	RL605-mf	RL606-mf	RL607-mf	RL610-mf	RL613-mf	RL616-mf	RL627-mf	RL628-mf	RL641-mf	RL651-mf	RL654-mf	RL656-mf	RL659-mf	RL663-mf	RL665-mf	RL667-mf	RL668-mf	RL679-mf	RL680-mf	RL682-mf	RL683-mf	RL686-mf	RL691-mf	RL693-mf	RL700-mf	RL703-mf	RL704-mf	RL725-mf
UniRef90_E0XW65	2.89461515907258	4.60700832486139	-1.65027201890174	-1.65027201890174	4.63662391052219	4.00932435753688	2.85631088287926	-1.65027201890174	1.02967642302483	2.22507556394305	-1.65027201890174	5.21763679687915	-1.65027201890174	3.80036519837231	-1.65027201890174	-1.65027201890174	0.00691521539521633	5.12960489160163	-0.849018980107947	-1.65027201890174	6.29707269805641	-1.65027201890174	-1.65027201890174	-1.65027201890174	-1.65027201890174	-1.65027201890174	-1.65027201890174	-1.65027201890174	-1.65027201890174	-1.65027201890174	-1.65027201890174	-1.65027201890174	1.04586204940818	-1.65027201890174	-1.65027201890174	-1.65027201890174	-1.65027201890174	-1.65027201890174	-1.65027201890174	-1.65027201890174
UniRef90_D1W139	0.267822468238602	4.68690078129092	1.72788945868371	4.01833674140753	1.85424761450968	4.59706391490587	2.34962289099313	-2.18814447026498	-0.0186344428738683	1.96193953556347	-1.25778472610704	5.25128407430533	3.485586494434	3.99416320077161	-0.27355873136666	0.164180833160297	0.419276062523617	1.44809530686673	-2.84749548905403	-2.84749548905403	1.88980729567037	-2.68679985228044	-1.85327204770369	-0.919697619694922	-1.5715944861145	2.24318436729198	-0.919553537118897	-0.692491107194354	-2.28038135682475	-2.33973128845644	-2.22917694701992	-2.56520396453916	-0.618658332179813	-0.620820504035943	-1.18638895289731	-2.24667198397352	-0.500385476534202	-2.84749548905403	-2.50528894386007	-2.34267580241427
UniRef90_A0A0E1L867	-0.715474208007527	-1.3029342927738	0.294500244758276	2.16789605273443	-1.60167471059791	-1.60167471059791	-0.638235359691792	2.61724591613151	-0.777578982045532	-0.294776728395187	0.380353246881061	-1.60167471059791	-1.29574270089505	-1.60167471059791	-0.451531006069208	-0.409625769192218	-0.998353403616265	-1.60167471059791	-0.35420893344916	-1.60167471059791	0.981947866182648	4.15602597398736	-1.60167471059791	-0.0096459108286453	-1.60167471059791	-1.60167471059791	0.480469220092887	0.606770756019468	-1.60167471059791	-0.988004452461888	2.40020858004266	-0.547201278891678	-1.60167471059791	-1.60167471059791	-1.60167471059791	2.58391436667893	1.70514163228671	5.52459611431125	5.1734812101659	0.532533083817722
UniRef90_P0AB34	-0.422465872051784	-2.27319729852168	-1.0350830383004	3.11457879973177	-1.52511825857413	-1.54555996661341	-1.23622984506267	5.65178143197305	-2.27319729852168	-1.48224514350558	1.35139494139477	-2.27319729852168	-2.27319729852168	-2.27319729852168	-1.92612811725037	1.12534324765296	-1.72068742492665	-2.27319729852168	-1.51528054076987	-2.27319729852168	0.831100777072522	6.19093181729406	-2.27319729852168	-0.311729545225365	-2.27319729852168	-1.12838082672018	1.21428905082686	1.61147876226372	0.168875674561988	-0.977656458789007	1.39712186933643	-0.170636581753313	-1.93321735206926	-2.27319729852168	-1.61199040731733	2.61064831045296	3.59747565630291	7.20727787808263	5.11570686395611	0.0863772832433538
UniRef90_P0DPO4	0.221462583829969	-1.177887351975	-1.12972451570917	3.47001471309452	-0.607389899452903	-1.47895049969528	-1.47895049969528	4.59271564925429	-0.799414100994068	-0.638434896694471	1.64377687818108	-1.47895049969528	-1.47895049969528	-1.47895049969528	-1.47895049969528	0.0429243989195511	-0.737844259119095	-1.47895049969528	-0.441940860937256	-1.47895049969528	-0.582698029057547	3.73704253599767	-1.47895049969528	-0.648395794629833	-1.47895049969528	-1.47895049969528	0.172604109131684	-1.47895049969528	-0.856336826985749	-0.725020837469893	2.44299989957184	-0.117794152402491	-1.47895049969528	-1.47895049969528	-0.624949265328993	3.42431437918018	3.39770395677963	2.17465988429321	3.54309766548489	0.92982113277185
UniRef90_U2LA96	0.518083852702493	5.20974655850188	0.900375282869272	4.00623704555619	0.0926336331048816	5.32861880700048	1.72749044693572	-3.30725525364133	1.34163852624136	2.53129923962515	0.572299226032086	5.39645885863582	2.32604911836083	4.66754890922162	-1.24367989282351	1.06909327553348	0.856920945443158	1.83595661603096	-4.20435912198259	-4.535745896373	0.787188265620263	-2.78566235183499	-0.843607783434849	-0.488890348291285	-0.630795144259037	2.588363302531	-0.61528825208696	-1.70062582721736	-2.6348155144105	-3.49504995593344	-1.29612993979445	-2.99346703228696	-0.652440183829005	0.743689866692486	-0.353786930985995	-2.43529908075235	1.47760465174761	-3.04462280202481	-3.23055190196899	-3.48522321445533
UniRef90_A5ZYV6	0.254188249803994	1.51920712877766	-1.58172187684319	0.374676641343436	0.745966457346459	0.621389711247587	2.28708809190295	-0.647707124869897	1.09555643255603	1.43904282129785	1.03411857008961	2.23436818315509	3.28807789158105	-0.389639941255158	-0.953442989648959	-0.821229120405616	1.7815476877173	1.41705307471957	0.161132335023438	-0.662325905406393	-2.67589882203284	-1.41638241166549	-1.59256607041861	-0.742120276342825	-0.255453123008459	-1.80512116569878	0.512905752395502	1.35626160228637	1.70655154749562	0.26513890327207	-1.3325900618406	-0.946608859864022	0.109111878671957	-1.3689510505403	-1.65982915520937	1.07477851051956	-1.90470182641018	0.794028473770886	0.202053621939451	-3.51795378545272
UniRef90_B7LUV3	-3.06804605905592	-4.68384801896821	-2.21966850401992	2.78581389868828	-2.88784347404821	-1.74973090092503	-2.01273426764997	5.77035527655969	-4.19088540357721	-2.20046351982538	2.29473237774444	-6.00075938974525	-2.41747270380348	-3.7974560743227	0.328741210418884	2.62430396349099	-1.81134977020923	-2.3279012786246	-0.992292846461186	-2.99060621747964	2.51078315382517	7.38936845053171	-3.72029920319899	-0.97658795904362	-5.55575812853542	1.3361415008317	2.5915081074859	2.7771514681717	3.63390724398517	-1.92864592303615	2.85493167563024	0.454771849710516	-0.605276870916668	-6.20411648991482	1.9559031264201	3.86731153556918	3.87857685769209	6.74423052473494	6.48874306183074	2.05446772004017
