RL509-mf	RL511-mf	RL514-mf	RL516-mf	RL518-mf	RL528-mf	RL568-mf	RL569-mf	RL573-mf	RL585-mf	RL591-mf	RL601-mf	RL605-mf	RL606-mf	RL607-mf	RL610-mf	RL613-mf	RL616-mf	RL627-mf	RL628-mf	RL641-mf	RL651-mf	RL654-mf	RL656-mf	RL659-mf	RL663-mf	RL665-mf	RL667-mf	RL668-mf	RL679-mf	RL680-mf	RL682-mf	RL683-mf	RL686-mf	RL691-mf	RL693-mf	RL700-mf	RL703-mf	RL704-mf	RL725-mf
RL641-mf	0.324090796013706	0.228282335557266	-0.070587997071692	-0.388305048964578	0.471971250008746	0.352005177403727	0.192397611088057	-0.147101519451426	-0.068884830774866	0.143939007533228	-0.573412120537905	0.192068392627817	-0.412669446717815	0.343220250935731	-0.00682002385054466	-0.109945042179176	-0.306111205412199	0.452545027218721	-0.16878663869165	-0.232972956233139	1	-0.0594026178375456	-0.222509441996714	-0.634854798505319	-0.372596927134756	0.125210873427376	-0.348553916231583	-0.255262172107171	-0.223454974492536	-0.465601178753902	-0.15596395046193	-0.171641264423597	0.451993466096857	-0.204004643416688	0.104597752819126	-0.337872271952113	-0.122410165184756	-0.155532847974425	-0.158657792556223	0.165870235635196
RL651-mf	-0.718111592664058	-0.968588284908423	-0.498470014651788	0.215367267229722	-0.790932239185451	-0.90445518681643	-0.951058672658607	0.976775111396079	-0.908523097393262	-0.987722117999844	0.718985186653917	-0.9714231871525	-0.806016767351715	-0.917779956044867	0.165599827212598	0.560617615758188	-0.898404236197873	-0.859503790767715	0.433616412861544	0.135539551745437	-0.0594026178375456	1	-0.692962164740122	0.365743387245621	-0.716951980392638	-0.266233890100021	0.839577970365861	0.664822957799399	0.590705267581527	0.30998725144322	0.936525368035291	0.905319052880681	-0.620402907098464	-0.760221678478977	0.429977057502796	0.914330294746193	0.828915201393154	0.958796492709424	0.977100329736689	0.920153448266744
RL654-mf	0.7185206962994	0.711060722199408	0.519207442198422	-0.0365754281795188	0.476297374219932	0.516788728252833	0.554043847758449	-0.651399154392565	0.890574387296157	0.731999361058546	-0.433545416895486	0.726779496635791	0.49247284461068	0.645565850854358	-0.547361183703225	-0.622332985781227	0.647898140510808	0.492086892651336	-0.278449987642642	0.010051179524499	-0.222509441996714	-0.692962164740122	1	0.18950754209247	0.940990356201871	-0.107338692807108	-0.759812945990376	-0.781173518702949	-0.798633609249994	-0.0860378223302512	-0.499742070782468	-0.65497382734373	0.075078697164409	0.958997812443387	-0.669098673584478	-0.561112235260805	-0.44291330702329	-0.649643815464589	-0.648153609714231	-0.667134610267104
RL656-mf	-0.442159621358098	-0.372682284247142	0.356331937326685	0.580319414240224	-0.704636483300826	-0.453218994899526	-0.480844389698726	0.327861028211141	-0.170893235424939	-0.351390090436846	0.471608491840747	-0.360729979126199	-0.00340533047263818	-0.392138972535294	0.0143836205689904	0.275787224397116	-0.211971013162344	-0.687222542809529	-0.0489945534242193	-0.0739917693101544	-0.634854798505319	0.365743387245621	0.18950754209247	1	0.177025120428165	-0.0487416726609819	0.382453278496943	0.255975841417516	-0.0955017272718811	0.13935725549573	0.462998422307969	0.189923582763516	-0.852998652587201	0.18955308434314	-0.141577359428932	0.389706640316967	0.484323543651605	0.454895519905063	0.41917971762693	0.169985135047647
RL659-mf	0.706870572522829	0.681530952746073	0.438559033176852	-0.136110406268937	0.505296229587679	0.454248632020837	0.632714106431051	-0.643571639198012	0.903868973095372	0.725308791267278	-0.423387165575856	0.72257928808373	0.613439756630506	0.568211899925289	-0.54169206114041	-0.701582896297618	0.757729602741118	0.491344680973142	-0.125291926459908	0.214278495523983	-0.372596927134756	-0.716951980392638	0.940990356201871	0.177025120428165	1	-0.227755829569264	-0.695392022837544	-0.605964644346852	-0.64627316748328	0.147487116965617	-0.588464685293841	-0.591504611967106	0.124611252830331	0.924415638585416	-0.794577873034225	-0.522236779008414	-0.588474229223821	-0.606123170164459	-0.635759501640545	-0.762323130263685
RL663-mf	-0.279345566842958	0.302902749978015	0.555735662326339	0.624996071481872	-0.100044649376664	0.533010897122093	0.132505719745303	-0.346930712260439	-0.0676161217540669	0.226826821313386	-0.063696196749996	0.239323894250633	0.417476083709349	0.418025690098275	0.459557036370436	0.59956233859952	0.102646237551613	0.045319852956408	-0.85732393023749	-0.896475261956201	0.125210873427376	-0.266233890100021	-0.107338692807108	-0.0487416726609819	-0.227755829569264	1	-0.0259115532330593	-0.10570389476583	-0.154830980963585	-0.861380006123278	-0.279496836656048	-0.538937690103778	0.00407954547682826	0.0773671625017121	0.535118592136784	-0.462666704750656	0.131195712412878	-0.379541820787594	-0.383558498309223	-0.219428996607347
RL665-mf	-0.916769506341109	-0.912492156812297	-0.483081095085308	0.289553057223242	-0.886637144136504	-0.79982340755378	-0.801309425348234	0.806987873360854	-0.852928712050333	-0.879024060187318	0.873521978056722	-0.916057976398989	-0.426478016932437	-0.896406509111279	0.420558884263045	0.73173449570036	-0.587959006167819	-0.840063600442936	0.332851273097891	0.0258442931003278	-0.348553916231583	0.839577970365861	-0.759812945990376	0.382453278496943	-0.695392022837544	-0.0259115532330593	1	0.885151490898193	0.838436705725974	0.285296844164841	0.754494947530207	0.792266832369869	-0.482461843016826	-0.784917953394293	0.603278585458573	0.830333752266885	0.683312410136877	0.854792135667523	0.842683192250034	0.649186531989579
RL667-mf	-0.780446683885609	-0.758028169564646	-0.455060500706856	0.0284774971727724	-0.657822205936865	-0.667027983626834	-0.51122655648855	0.618799764811709	-0.723617902538392	-0.705713798569787	0.598735746837686	-0.738665851869934	-0.264457121332717	-0.77830009857114	0.458387844418409	0.516216825366445	-0.42117442103637	-0.624492668813926	0.405868861378334	0.182337699108724	-0.255262172107171	0.664822957799399	-0.781173518702949	0.255975841417516	-0.605964644346852	-0.10570389476583	0.885151490898193	1	0.849099217294114	0.393590591611662	0.481300821748966	0.676310034032951	-0.257682369968352	-0.755818331931061	0.360968094426383	0.649298235032594	0.335993638743016	0.781810181547043	0.706528349784856	0.434537209970473
RL668-mf	-0.666618078369398	-0.72289639998854	-0.761643752896731	-0.13727097774353	-0.509051539223284	-0.62094540643786	-0.469063526462483	0.599844877581411	-0.659401902394418	-0.653373505794529	0.687002834840834	-0.713042392983457	-0.298268505990416	-0.751626419157161	0.385555433227077	0.468855595715218	-0.30169339888943	-0.457660877262075	0.519762062165895	0.258936092307972	-0.223454974492536	0.590705267581527	-0.798633609249994	-0.0955017272718811	-0.64627316748328	-0.154830980963585	0.838436705725974	0.849099217294114	1	0.436233806893224	0.45474675598288	0.734863630787672	0.0254969354422504	-0.847829512240562	0.560479650446406	0.669673949033417	0.28566862966702	0.62579090821689	0.615477882140741	0.431951876467885
RL679-mf	-0.0261534364118531	-0.443460709577602	-0.538563698334401	-0.416179459435302	-0.105120470718745	-0.650039222097173	-0.195861348312693	0.425743663139993	-0.078645536693971	-0.345763931450952	0.280814700500235	-0.370598037285414	-0.16957748035625	-0.589989021762552	-0.177743939826827	-0.398602032860574	-0.00779602822569049	-0.253846497729005	0.90208311487274	0.941228798524897	-0.465601178753902	0.30998725144322	-0.0860378223302512	0.13935725549573	0.147487116965617	-0.861380006123278	0.285296844164841	0.393590591611662	0.436233806893224	1	0.287613937721068	0.631830984922487	-0.0954610112989555	-0.209075581724603	-0.386774914861465	0.590277355512716	-0.112694817711245	0.448622033232977	0.456492380041429	0.193104311748024
RL680-mf	-0.684756143216376	-0.920534462712278	-0.406388475312197	0.274169949825676	-0.813903972927786	-0.896430446720493	-0.966451432313426	0.913736666553326	-0.781556514149398	-0.914956159315636	0.744255672047675	-0.934855612018835	-0.760611064346922	-0.874785437284817	0.193932056933143	0.480417121109358	-0.814329268294427	-0.859036238954274	0.442256253257517	0.138992033930653	-0.15596395046193	0.936525368035291	-0.499742070782468	0.462998422307969	-0.588464685293841	-0.279496836656048	0.754494947530207	0.481300821748966	0.45474675598288	0.287613937721068	1	0.856054957207369	-0.661533730582282	-0.625337627899277	0.440388781291553	0.921249742093998	0.842441649131038	0.866003831662038	0.939730624209333	0.917031889714895
RL682-mf	-0.583443080197072	-0.949831502467889	-0.730137597297716	-0.0748910039427814	-0.626339269338513	-0.95845033157993	-0.817947668334282	0.936943776708877	-0.768107362907877	-0.915855044484449	0.702753694652892	-0.930837505971298	-0.731041548626434	-0.964007826969168	0.118854462784652	0.296542837616889	-0.694408659265279	-0.720432140662701	0.748844361674294	0.490911291964137	-0.171641264423597	0.905319052880681	-0.65497382734373	0.189923582763516	-0.591504611967106	-0.538937690103778	0.792266832369869	0.676310034032951	0.734863630787672	0.631830984922487	0.856054957207369	1	-0.39321596030359	-0.781337206968643	0.312040033470942	0.968859931365208	0.586147563987178	0.900067562703378	0.941228846835717	0.830656003092393
RL683-mf	0.535031256052033	0.567944242418954	-0.249434547977991	-0.738503100369352	0.768476798978997	0.593106500335237	0.746903851543594	-0.625146317171378	0.492042743952874	0.624660439184317	-0.544782310242066	0.564207318237889	0.289652408798175	0.532835852064761	0.0194675514256406	-0.469137383533936	0.567788147821397	0.863312852381037	0.0470165075284311	0.115893075714111	0.451993466096857	-0.620402907098464	0.075078697164409	-0.852998652587201	0.124611252830331	0.00407954547682826	-0.482461843016826	-0.257682369968352	0.0254969354422504	-0.0954610112989555	-0.661533730582282	-0.39321596030359	1	0.0414021698324972	-0.0410728129854046	-0.558589605561649	-0.777034888751041	-0.597663101971704	-0.602606909357536	-0.507569954446921
RL686-mf	0.689018048280767	0.79195005472752	0.684342624882635	0.100149456094363	0.496634620541672	0.633954535269202	0.622842190099752	-0.721140171257299	0.869138908994818	0.780781538459882	-0.517601176544832	0.807617612933893	0.620293482000714	0.741431781995846	-0.492852170343009	-0.531018229242351	0.665718639831738	0.498019088563438	-0.457353535202411	-0.12548271327296	-0.204004643416688	-0.760221678478977	0.958997812443387	0.18955308434314	0.924415638585416	0.0773671625017121	-0.784917953394293	-0.755818331931061	-0.847829512240562	-0.209075581724603	-0.625337627899277	-0.781337206968643	0.0414021698324972	1	-0.675872740978535	-0.686842525058851	-0.462630989904174	-0.714034821027083	-0.739617781335944	-0.749923589464122
RL691-mf	-0.705524386744346	-0.453558906140018	-0.281941591803147	0.355176836899737	-0.526453663588447	-0.205534955522093	-0.49799325629138	0.365167940250838	-0.643670506596927	-0.465304444729321	0.55747532040817	-0.520307894280818	-0.259867825657394	-0.345201123790933	0.603829267352208	0.806312820088711	-0.394267516361608	-0.384574122006618	-0.154303425088864	-0.489216029842256	0.104597752819126	0.429977057502796	-0.669098673584478	-0.141577359428932	-0.794577873034225	0.535118592136784	0.603278585458573	0.360968094426383	0.560479650446406	-0.386774914861465	0.440388781291553	0.312040033470942	-0.0410728129854046	-0.675872740978535	1	0.334445072460154	0.554803724356101	0.266103850160148	0.342010302082712	0.480361897568312
RL693-mf	-0.672524344308634	-0.968746431034518	-0.591372034248842	0.115263486710737	-0.76411974999146	-0.987722437061462	-0.890765072640914	0.942455687664379	-0.75464059236147	-0.929987841991401	0.80195399752963	-0.955058060701172	-0.654822154741078	-0.98247435291798	0.159662507092314	0.372581616648022	-0.673454178034383	-0.839750866640921	0.668641985827585	0.410540499311932	-0.337872271952113	0.914330294746193	-0.561112235260805	0.389706640316967	-0.522236779008414	-0.462666704750656	0.830333752266885	0.649298235032594	0.669673949033417	0.590277355512716	0.921249742093998	0.968859931365208	-0.558589605561649	-0.686842525058851	0.334445072460154	1	0.683001523799117	0.903651457487454	0.957863323649214	0.824268550531604
RL700-mf	-0.681544220311895	-0.748103719285861	-0.156689857219146	0.630329877521973	-0.828988262289394	-0.635291165789995	-0.934298166316348	0.804488334126135	-0.782124191996624	-0.820683707725643	0.73992358518766	-0.780028913818608	-0.630838572251901	-0.645873766672386	0.0750723891194338	0.768339622761031	-0.81505729197658	-0.849352463571616	-0.0538470300162414	-0.318363015843073	-0.122410165184756	0.828915201393154	-0.44291330702329	0.484323543651605	-0.588474229223821	0.131195712412878	0.683312410136877	0.335993638743016	0.28566862966702	-0.112694817711245	0.842441649131038	0.586147563987178	-0.777034888751041	-0.462630989904174	0.554803724356101	0.683001523799117	1	0.6939319176175	0.73266431776698	0.776856029401992
RL703-mf	-0.697648330229028	-0.954523548770242	-0.500464449823604	0.103410796561211	-0.779249063279066	-0.928107906160905	-0.860862471460395	0.925932953686751	-0.831752942776735	-0.94294784645022	0.689459125294304	-0.939648388540317	-0.719777192547634	-0.940461895657114	0.149076260283381	0.457406643069783	-0.798435941067737	-0.834830428640689	0.519708537407331	0.256475620193771	-0.155532847974425	0.958796492709424	-0.649643815464589	0.454895519905063	-0.606123170164459	-0.379541820787594	0.854792135667523	0.781810181547043	0.62579090821689	0.448622033232977	0.866003831662038	0.900067562703378	-0.597663101971704	-0.714034821027083	0.266103850160148	0.903651457487454	0.6939319176175	1	0.975385003384057	0.804349993046852
