RL509-mf	RL511-mf	RL514-mf	RL516-mf	RL528-mf	RL568-mf	RL569-mf	RL573-mf	RL591-mf	RL605-mf	RL607-mf	RL613-mf	RL616-mf	RL627-mf	RL628-mf	RL651-mf	RL656-mf	RL659-mf	RL665-mf	RL667-mf	RL668-mf	RL679-mf	RL680-mf	RL683-mf	RL691-mf	RL693-mf	RL703-mf	RL704-mf	RL725-mf
RL509-mf	1	0.343697116643141	0.416251089288828	0.295946863290746	0.416892742498273	0.387868825314919	-0.240937373256143	0.69684369684274	0.234045072934756	0.207112013774203	-0.228880830355753	0.184550833058421	0.141821923891649	0.0946624759140149	-0.103674176202422	-0.36573274501632	-0.11762039714588	0.185155177844927	-0.114889212225987	-0.28543791725881	-0.557500036694566	0.188323178663851	-0.258674800993141	0.00145184666394077	-0.504238080538247	-0.419354864574286	-0.276836323747081	-0.324451483430748	-0.295620676176672
RL511-mf	0.343697116643141	1	0.319830675635876	-0.349587430889261	0.389474305515378	0.175983709772224	-0.554190698556428	0.490470894685626	-0.39957976933195	0.759688436223136	-0.0855137975076238	0.675235603363199	0.775789208049648	-0.216837935591254	-0.136936691073863	-0.664284974005304	-0.032942079720264	0.766724712344579	-0.124343161534156	0.404610030097176	-0.436658443105298	0.291809698162929	-0.285380973173655	0.242629433677303	-0.400396942371603	-0.790411664197364	-0.806919433332676	-0.811842056017717	-0.568953093897622
RL514-mf	0.416251089288828	0.319830675635876	1	0.360650106822518	-0.00670299602422337	-0.0614621884327886	0.239814445253409	0.303077504907252	-0.26389474636787	-0.0695186231543381	0.220346933658347	-0.160722986692406	-0.0202579845163973	0.0735762341072545	-0.195317643620022	0.161719292076285	-0.137030236700187	0.0968251154768156	-0.149606197842159	-0.414978591814492	-0.527316286393548	0.401294898446962	0.421893493296768	-0.175998736002049	-0.446008919737217	-0.417754033942211	-0.419366847778693	-0.414472945479973	0.0661969259983425
RL516-mf	0.295946863290746	-0.349587430889261	0.360650106822518	1	-0.124513694309641	-0.302959781096599	0.490299945885045	-0.111550228817436	0.253351289230474	-0.546462164370871	0.102975565505195	-0.622579298003054	-0.624555937131735	0.144214960901976	-0.42167832810965	0.50828585112004	0.103617250575555	-0.501059978098511	0.0509000826948688	-0.516896731775403	0.0200777219369514	0.151050629712791	0.549675029316907	-0.422067919706682	-0.289043470732005	0.333221993825861	0.27581449809029	0.290539143723459	0.1702808277764
RL528-mf	0.416892742498273	0.389474305515378	-0.00670299602422337	-0.124513694309641	1	0.582794589240909	-0.512043209284581	0.636641187612796	-0.437971428805617	0.392080014677674	-0.113714612015485	0.376049789731099	0.318004094258486	-0.381054740966128	-0.45079722510702	-0.578184643762806	0.601784729526766	0.543623817681335	0.0794440120732688	-0.0839225069571908	0.0169044182447193	0.644039433442399	-0.298004552563169	0.193167201311198	-0.237343101313505	-0.35682975297427	-0.444531195042223	-0.413861001541882	-0.727302433298934
RL568-mf	0.387868825314919	0.175983709772224	-0.0614621884327886	-0.302959781096599	0.582794589240909	1	-0.568061337647668	0.541428406136384	-0.119525992732492	0.293866487529651	-0.201615673102064	0.58867820367775	0.472528556783863	-0.2249974815555	0.0247221305467324	-0.664269233267965	0.193760830325369	0.324961279294391	0.426797693358011	0.0713114698912877	-0.148564233797689	0.252148219261307	-0.572815111439519	0.54881049600471	-0.257513901905009	-0.408410265661527	-0.389369210008489	-0.461109977417771	-0.502621136191587
RL569-mf	-0.240937373256143	-0.554190698556428	0.239814445253409	0.490299945885045	-0.512043209284581	-0.568061337647668	1	-0.427991720949202	0.117808279105217	-0.642600936569674	0.203302762110829	-0.766247158758239	-0.725431594508785	0.187812506119823	-0.0150326945754131	0.898397798263858	-0.15109015659622	-0.628496396411105	-0.240507136977991	-0.489049638451412	0.095388687477044	-0.0858214404300731	0.608167994948436	-0.488122121359052	0.0625093753857821	0.531406393712258	0.499852074536782	0.438633854606506	0.537543798747091
RL573-mf	0.69684369684274	0.490470894685626	0.303077504907252	-0.111550228817436	0.636641187612796	0.541428406136384	-0.427991720949202	1	-0.193074344546229	0.428737387386022	-0.171554620019947	0.376516297317497	0.320680809521536	-0.135010669906224	-0.0757872782172453	-0.611620887289355	0.149557205129929	0.475009016556096	-0.118159711344007	-0.124515173375849	-0.465316841654298	0.339817082994634	-0.40090085975449	0.187479523457342	-0.393925281307617	-0.484010835877899	-0.412280363057634	-0.437505682393404	-0.545105761361561
RL591-mf	0.234045072934756	-0.39957976933195	-0.26389474636787	0.253351289230474	-0.437971428805617	-0.119525992732492	0.117808279105217	-0.193074344546229	1	-0.162617033872406	-0.247286102437246	-0.174229608878594	-0.2597575524402	0.500763862759374	0.397221276738524	0.155653831972725	-0.492207919315365	-0.56614673320191	-0.0487173776878247	-0.0795406770785661	0.0160905080637318	-0.626498685828081	-0.188481702964381	-0.114052605826821	0.0578701905385884	0.342434510452629	0.461900420987006	0.390770801427715	0.369150135025516
RL605-mf	0.207112013774203	0.759688436223136	-0.0695186231543381	-0.546462164370871	0.392080014677674	0.293866487529651	-0.642600936569674	0.428737387386022	-0.162617033872406	1	-0.255765088702125	0.821415113727759	0.850657444747402	-0.24381617244085	0.133794413493508	-0.75065810046961	-0.0982028458595304	0.767987620217305	-0.293351794762057	0.536482872629436	-0.26683709871894	0.00388223962335714	-0.614697341714718	0.0733689347246199	-0.297826350243322	-0.546347166337793	-0.577014160728527	-0.660682719076674	-0.525360761603347
RL607-mf	-0.228880830355753	-0.0855137975076238	0.220346933658347	0.102975565505195	-0.113714612015485	-0.201615673102064	0.203302762110829	-0.171554620019947	-0.247286102437246	-0.255765088702125	1	-0.294018272741438	-0.218793313992309	0.252378971435808	0.00100310645064037	0.296754348870594	0.0386827098569061	-0.243592253395303	0.0222250518012144	-0.272432023309516	0.213254712330863	0.261480844599491	0.382995524280826	-0.0321207306295548	0.133768933186565	-0.103075350897752	-0.117984173398765	0.0353075652302257	0.23939641794884
RL613-mf	0.184550833058421	0.675235603363199	-0.160722986692406	-0.622579298003054	0.376049789731099	0.58867820367775	-0.766247158758239	0.376516297317497	-0.174229608878594	0.821415113727759	-0.294018272741438	1	0.958443888057226	-0.281296929142692	0.0933861626276477	-0.841336707806405	-0.107966007470267	0.692027319938674	0.145726209898089	0.654412677359173	-0.217756866802971	-0.039090572102376	-0.670894439398135	0.457134933262635	-0.300161386370026	-0.605249745017493	-0.679616082071902	-0.738325629455727	-0.552725418685296
RL616-mf	0.141821923891649	0.775789208049648	-0.0202579845163973	-0.624555937131735	0.318004094258486	0.472528556783863	-0.725431594508785	0.320680809521536	-0.2597575524402	0.850657444747402	-0.218793313992309	0.958443888057226	1	-0.321662543873977	0.0574102006739774	-0.798410765688566	-0.11588139627848	0.773430748437802	0.0585088246556038	0.648184063655269	-0.282899351887697	0.0134386610952083	-0.578895064143712	0.37382708119918	-0.308443820765822	-0.687313901204008	-0.743346128351648	-0.796034474664582	-0.507864580755158
RL627-mf	0.0946624759140149	-0.216837935591254	0.0735762341072545	0.144214960901976	-0.381054740966128	-0.2249974815555	0.187812506119823	-0.135010669906224	0.500763862759374	-0.24381617244085	0.252378971435808	-0.281296929142692	-0.321662543873977	1	0.505245261019521	0.264968126564798	-0.346892355551183	-0.481085837374791	-0.177230801080111	-0.255410270862309	0.00789969638042639	-0.182386220983102	0.104211509071476	-0.114130790377591	0.168452739461525	0.0675048902783736	0.160938555288606	0.236274735351623	0.351967797224347
