RL509-mf	RL511-mf	RL514-mf	RL516-mf	RL528-mf	RL568-mf	RL569-mf	RL573-mf	RL591-mf	RL605-mf	RL607-mf	RL613-mf	RL616-mf	RL627-mf	RL628-mf	RL651-mf	RL656-mf	RL659-mf	RL665-mf	RL667-mf	RL668-mf	RL679-mf	RL680-mf	RL683-mf	RL691-mf	RL693-mf	RL703-mf	RL704-mf	RL725-mf
UniRef90_U2DG93	-1.84590254280768	3.41115635957866	-1.34624947342293	0.739249817271594	4.17198442883796	0.524680934379154	-1.37878494183992	0.351574919622575	-8.28674513967528	-0.476899854964604	-0.621693525386065	-0.165766013829753	0.478023634647155	-3.55531205538597	-5.75563571130716	-1.11896573805823	4.36275131728597	6.1707126947616	2.47191947886532	0.742936876124991	1.36173288661216	3.77752607905317	2.14529559290772	1.55862415891347	-0.698480245367782	0.0652276397977989	-1.24604993173327	0.69197389836518	-6.5288855432458
UniRef90_A0A229I383	-1.24385289917185	5.51739247609824	-1.24385289917185	-0.811064488107968	-0.0796008130835106	-1.24385289917185	-1.24385289917185	-1.24385289917185	-1.24385289917185	4.62027627957505	-1.24385289917185	2.11624304204579	5.6668198090651	-1.24385289917185	-1.24385289917185	-1.24385289917185	-1.24385289917185	4.12387809635458	-1.24385289917185	4.96696648066149	-1.24385289917185	-1.24385289917185	-1.24385289917185	-1.24385289917185	-1.24385289917185	-1.24385289917185	-1.24385289917185	-1.24385289917185	-1.24385289917185
UniRef90_F4NR55	-1.41576778640627	-1.65160034181165	-1.40011171526	2.68158319567572	-2.09320386392546	0.210030382836448	4.43846922546249	-2.09320386392546	0.972540761199681	-2.09320386392546	-1.47165222638862	-2.09320386392546	-1.49161858423344	-2.09320386392546	-2.09320386392546	3.58913626877067	0.366723432028031	-2.09320386392546	0.719006820576434	-0.617750569933983	0.203268227290053	-0.255926634991192	0.0272476149820067	-1.00553736245678	-0.967810645561225	1.79906085992393	6.11423514659196	3.90056558758479	-0.0916646084008481
UniRef90_P0A974	-1.15575547632863	-1.82940867974933	-1.82940867974933	0.932731743373814	-1.37088913262284	-1.00716229808267	4.20469916403723	-1.82940867974933	1.8145398395535	-1.57754903535513	-1.82940867974933	-1.00325845667814	-1.82940867974933	-0.184772491389108	-1.3672160257564	5.36740488722002	-0.746215739185375	-1.82940867974933	0.288648653278621	0.693789420374475	-0.983088678124517	-1.34836915726576	-0.278237227453955	-1.62961637048462	-1.0762714264275	1.41742044881943	6.51650214242901	3.87273906565444	-0.403621771089884
UniRef90_A0A229I938	-1.67287749747699	5.14981441599337	-1.67287749747699	-1.67287749747699	-1.67287749747699	-1.67287749747699	-1.67287749747699	-1.67287749747699	-1.67287749747699	5.77502398838323	-1.67287749747699	4.97953298864255	9.0727464111408	-1.67287749747699	-1.67287749747699	-1.67287749747699	-1.67287749747699	5.64765230918424	-1.07028284426584	7.24881767541547	-1.67287749747699	-1.67287749747699	-1.67287749747699	-1.67287749747699	-1.67287749747699	-1.67287749747699	-1.67287749747699	-1.67287749747699	-1.67287749747699
UniRef90_P0AB42	-0.656726715674488	-1.80926062323078	-0.0638941966496087	1.54758041501716	-1.17150664787644	-0.935385230900839	2.01909677160657	-1.02770114961953	0.474009271005004	-1.57283168382903	-1.80926062323078	-1.26607261358462	-1.80926062323078	-0.622360780829314	-1.80926062323078	3.39334124375341	-0.221137276515274	-1.80926062323078	0.269048618685901	0.694266211442031	-1.80926062323078	-1.15211547183134	1.6081733650236	-1.80926062323078	-1.80926062323078	1.69549958306252	5.62722606579417	4.84321153071113	0.992363677055239
UniRef90_A0A073HED5	-1.92397643751979	-1.92397643751979	-0.595318023871893	3.40689384348075	-1.92397643751979	-1.01442911410079	5.92032760709553	-1.92397643751979	-1.92397643751979	-1.271185259228	-0.34167575872429	-0.60541663642659	-1.92397643751979	-1.35418011758012	-1.92397643751979	5.60485270567059	-1.12144818192629	-1.92397643751979	1.0036830231833	0.681927937041282	-0.841362401594332	-1.92397643751979	0.315791243474374	-1.08108688467478	-0.403529044200866	0.869792540532853	4.80218721518499	3.05787165027209	0.28209159407032
UniRef90_P0AB34	-0.692991745279768	-2.54372317174966	-1.30560891152838	2.84405292650378	-1.81608583984139	-1.50675571829065	5.38125555874506	-2.54372317174966	1.08086906816679	-2.54372317174966	-2.19665399047836	-1.99121329815463	-2.54372317174966	-1.78580641399785	-2.54372317174966	5.92040594406608	-0.582255418453348	-2.54372317174966	0.943763177598874	1.34095288903574	-0.101650198665995	-1.24818233201699	1.12659599610845	-2.20374322529724	-1.88251628054532	2.34012243722498	6.93675200485465	4.84518099072812	-0.18414858998463
UniRef90_A0A0F6B5C9	-2.86211886049141	-2.25700682770659	-1.67078322080564	1.01218310556943	-1.98207721499849	-1.98823400044909	3.64386283607066	-1.35977931165704	-0.323505985836829	-2.68560052128703	0.321313602174231	-1.61694755198867	-2.61391518156374	0.207003482812957	-1.13080080659932	5.40411309699494	-0.504219019088662	-5.79622768887983	0.760404045303988	0.765466559760895	1.94028924754122	-0.270995056067664	0.934398682273935	0.0173970415911908	0.102251566838937	2.10452442330426	4.94306350272793	4.70665382814985	0.199286226305601
UniRef90_S1IQ44	-2.5546959019664	-1.73769242019844	-2.5546959019664	0.120318309240318	-1.67875310264146	-1.88527449085219	4.23203113290497	-2.064543751552	-0.999522723668236	-1.88793203982569	0.639544050066264	-1.11274505640214	-1.60411103175266	-1.0941525250839	-1.24857951423694	5.66805553830439	-0.968176131375525	-2.5546959019664	-0.670062817544692	0.481242903167014	2.52817696709741	-1.10029888269232	1.5768441967022	-0.829980153880799	0.283170663185575	1.41806107458665	2.96650877283873	4.26498505320725	2.36697368630542
UniRef90_A0A3E5FDS9	0.0484126875794115	5.08811503936352	0.260612038541186	0.402917319109735	-0.795063797125064	-0.731757127154697	-1.33105301838572	-0.581955594111587	1.24312359026156	2.06125203838255	-1.33105301838572	2.20621819586331	4.2050185372732	-1.33105301838572	-1.33105301838572	-1.33105301838572	-1.33105301838572	-1.33105301838572	1.56811874427449	-0.116306495703321	-1.33105301838572	-1.33105301838572	-1.33105301838572	5.10709009923146	-1.33105301838572	-1.33105301838572	-1.33105301838572	-1.33105301838572	-1.33105301838572
UniRef90_A0A0J2CM92	-2.93620277422804	-2.29540500828166	-3.25177247924483	1.84384942206072	-2.66324143837495	-3.19053010896486	3.14299129540878	-3.68226009006472	0.974831083647433	-3.07209865903194	-1.67040668432093	-1.8703739847803	-2.56868626561905	0.0379198569690242	-2.10488685595613	6.04580326589196	-0.078165038054137	-3.33895347317564	1.33095202136213	1.27969655672011	2.50373922464226	-1.68524594975892	2.39313776347343	-0.839788049927671	1.18639210862862	2.79210294045741	5.6137567324685	5.60113390593468	0.501710682118721
UniRef90_A0A0J2BCP5	-2.94999146231602	-2.30919369636963	-3.2655611673328	1.98159758187906	-2.67703012646293	-3.20431879705284	3.09459295261073	-3.6960487781527	0.778134138501692	-3.08588734711991	-1.68419537240891	-1.88416267286828	-2.58247495370703	0.0241311688810457	-2.11867554404411	6.08704604388617	-0.0919537261421155	-3.35274216126362	1.6178428036439	1.75473028487742	2.50844020349698	-1.6990346378469	2.5444582793114	-0.85357673801565	0.696763198150035	2.86692778339072	5.56905754367905	5.53357999857989	0.397545200215352
