"OTU"	"RL704.mf"	"RL703.mf"	"RL683.mf"	"RL651.mf"	"RL641.mf"	"RL628.mf"	"RL610.mf"	"RL607.mf"	"RL605.mf"	"RL591.mf"	"RL569.mf"	"RL514.mf"
"66"	"Paraprevotella"	0.00969299817403027	0	0.00180761654951543	0.00755163387035007	0	0.0025527559879282	0.000451679029932422	0	0	0	0	0
"67"	"Parasutterella"	0	0	0.000225952068689429	0.0123123895058782	0	0	0	0	0	0.0027021051855855	0.00324849896944171	0.00151205194343147
"68"	"Phascolarctobacterium"	0	0.00410571604179471	0.00454851338274807	0	0	0.000139558413918626	0	0	0	0.000311151506218936	0	0
"69"	"Prevotella"	0	0.000245851259987707	0.0664888522126111	0	0.257847121530827	0	0.250386533016	0.0663115525931944	0.11163860789541	0	0	0.0869874588632927
"70"	"Proteobacteria_unclassified"	0	0	0	0.0081208261419256	0	0	0	0	0	0.0277743660288061	0	0
"71"	"Roseburia"	0.0302308913121384	0.0356976029502151	0.169257747454355	0.0373279963907439	0.00518716686748218	0.0820312727145856	0.0628876187828987	0.022433116079836	0.0150458313552204	0	0.348358574543717	0.0972753416940911
"72"	"Ruminococcaceae_unclassified"	0	0.00919483712354026	0.000599264182176311	0	0	0	0	0	0.0231530511631304	0	0.00247184634226484	0
"73"	"Ruminococcus"	0.00747453028208672	0	0.148460333131941	0.00728146426679117	0.028529417771152	0.000157003215658454	0.0193700814759481	0.00708074075441738	0.0467078114158419	0	0.00984257848672223	0.0257938272703015
"74"	"Ruthenibacterium"	0	0.00221266133988937	0	0	0	0	0	0	0	0	0	0
"75"	"Sellimonas"	0	0	0.000250512076155671	0	0	0	0	0	0	0	0	0
"76"	"Sharpea"	0	0	0	9.96742226722135e-05	0	0.000831535549598479	0	0	0	0	0	0
"77"	"Slackia"	0	0	0	0	0	0.00766408289769787	0	0	0.00562392725413578	0	0	0
"78"	"Streptococcus"	0.0168688885475861	0.0460356484326982	0.00277528084368538	0.0421779342255051	0.0359834174035575	0.0191602072442447	0.00905095286903045	0.0190912280053913	0.0279735602381039	0	0.00210592346984497	0.00984316167096564
"79"	"Sutterella"	0	0	0	0	0	0.00396578492885428	0.0126122682973438	0	0.00390753387138005	0	0	0
"80"	"Turicimonas"	0	0	0	0.00388729468421632	0	0	0.000833868978336779	0	0	0.00224356612378917	0	0
"81"	"Veillonella"	0	0	0	0.00412336521159788	0.00443155594584108	0.00171540550441644	0	0	0	0	0	0
"82"	"Victivallis"	0	0	0.000402784122446373	0	0	0	0	0	0	0	0	0
"83"	"Weissella"	0	0	0	6.81981523546724e-05	0	0	0	0	0	0	0	0
