"Var1"	"Var2"	"value"
"1"	"Butyrivibrio"	"Prevotella"	0.0244399914375424
"2"	"Megasphaera"	"Prevotella"	0.00970667378140267
"3"	"Val"	"Prevotella"	-0.108713040660384
"4"	"Leu.Ile"	"Prevotella"	-0.229782434943764
"5"	"Phe"	"Prevotella"	-0.0183159911911696
"6"	"Tyr"	"Prevotella"	0.310182500172534
"7"	"ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine..g__Butyrivibrio.s__Butyrivibrio_crossotus"	"Prevotella"	0.00667572089126512
"8"	"ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine..g__Prevotella.s__Prevotella_copri"	"Prevotella"	0.797254411464809
"9"	"ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine..g__Prevotella.s__Prevotella_sp_AM42_24"	"Prevotella"	0.0463273066839673
"10"	"ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine..g__Prevotella.s__Prevotella_sp_CAG_1092"	"Prevotella"	0.210260495847625
"11"	"ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine..g__Prevotella"	"Prevotella"	0.809237683293575
"12"	"PWY.5103..L.isoleucine.biosynthesis.III.g__Butyrivibrio.s__Butyrivibrio_crossotus"	"Prevotella"	0.00667572089126512
"13"	"PWY.5103..L.isoleucine.biosynthesis.III.g__Prevotella.s__Prevotella_copri"	"Prevotella"	0.799699977144149
"14"	"PWY.5103..L.isoleucine.biosynthesis.III.g__Prevotella.s__Prevotella_sp_AM42_24"	"Prevotella"	0.0463273066839673
"15"	"PWY.5103..L.isoleucine.biosynthesis.III.g__Prevotella.s__Prevotella_sp_CAG_1092"	"Prevotella"	0.210260495847625
"16"	"PWY.5103..L.isoleucine.biosynthesis.III.g__Prevotella"	"Prevotella"	0.810215909565311
"17"	"PWY.6630..superpathway.of.L.tyrosine.biosynthesis.g__Butyrivibrio.s__Butyrivibrio_crossotus"	"Prevotella"	-0.109632833861067
"18"	"VALSYN.PWY..L.valine.biosynthesis.g__Butyrivibrio.s__Butyrivibrio_crossotus"	"Prevotella"	0.0668211372705713
