"Var1"	"Var2"	"value"
"1"	"Butyrivibrio"	"Prevotella"	0.0244399914375424
"2"	"Megasphaera"	"Prevotella"	0.00970667378140267
"3"	"Val"	"Prevotella"	-0.108713040660384
"4"	"Leu.Ile"	"Prevotella"	-0.229782434943764
"5"	"Phe"	"Prevotella"	-0.0183159911911696
"6"	"Tyr"	"Prevotella"	0.310182500172534
"7"	"ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine."	"Prevotella"	-0.045671042970189
"8"	"PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I"	"Prevotella"	-0.164843920720526
"9"	"PWY.5103..L.isoleucine.biosynthesis.III"	"Prevotella"	-0.0658899942851165
"10"	"PWY.5104..L.isoleucine.biosynthesis.IV"	"Prevotella"	-0.0741061484767614
"11"	"PWY.6318..L.phenylalanine.degradation.IV..mammalian..via.side.chain."	"Prevotella"	0.0503713485431823
"12"	"PWY.6628..superpathway.of.L.phenylalanine.biosynthesis"	"Prevotella"	-0.291079459717128
"13"	"PWY.6630..superpathway.of.L.tyrosine.biosynthesis"	"Prevotella"	-0.188866752353732
"14"	"VALSYN.PWY..L.valine.biosynthesis"	"Prevotella"	-0.0599432438983731
"15"	"Prevotella"	"Butyrivibrio"	0.0244399914375424
"16"	"Megasphaera"	"Butyrivibrio"	-0.015874660789892
"17"	"Val"	"Butyrivibrio"	-0.0579377283734596
"18"	"Leu.Ile"	"Butyrivibrio"	-0.00724178678929259
"19"	"Phe"	"Butyrivibrio"	-0.22120366920021
"20"	"Tyr"	"Butyrivibrio"	0.0701136630054237
"21"	"ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine."	"Butyrivibrio"	-0.0503633353982621
"22"	"PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I"	"Butyrivibrio"	-0.0536550566661224
"23"	"PWY.5103..L.isoleucine.biosynthesis.III"	"Butyrivibrio"	-0.0799888268090045
"24"	"PWY.5104..L.isoleucine.biosynthesis.IV"	"Butyrivibrio"	0.103245713103935
"25"	"PWY.6318..L.phenylalanine.degradation.IV..mammalian..via.side.chain."	"Butyrivibrio"	0.16292606486172
