"OTU"	"RL725.mf"	"RL700.mf"	"RL693.mf"	"RL691.mf"	"RL686.mf"	"RL682.mf"	"RL680.mf"	"RL679.mf"	"RL668.mf"	"RL667.mf"	"RL665.mf"	"RL663.mf"	"RL659.mf"	"RL656.mf"	"RL654.mf"	"RL627.mf"	"RL616.mf"	"RL613.mf"	"RL606.mf"	"RL601.mf"	"RL585.mf"	"RL573.mf"	"RL568.mf"	"RL528.mf"	"RL518.mf"	"RL516.mf"	"RL511.mf"	"RL509.mf"
"13"	"Bacteroides"	0.379244621181075	0.007373424849153	0.121054851781309	0.253008467379965	0.00508879426731748	0.057226552283308	0.0226674655482325	0.178772816957595	0.275710559911028	0.11660740791881	0.0604172960135001	0.0297369794511403	0.121480421370415	0.0973688988410446	0.0647121790447753	0.1918213234353	0.0475054318029525	0.0297719562472426	0.134593973022797	0.00326767945620572	0.185604600835977	0.090689730813826	0.0721496231763811	0.058897755951163	0.0247013626268083	0.00918490021639817	0.0252412306102266	0.139397026814245
"14"	"Barnesiella"	0.0192619214924584	0.002175278874308	0.00212197522657838	0.0124220588592086	0	0	0.00116476932294787	0.011310094987547	0.0113329312896985	0	0.000500005208387587	0	0.0060094057167676	0.00994795291554453	0	0	0.00669076288911	0	0	0	0	0	0.00829703381041278	0	0	0	0	0
"15"	"Bifidobacterium"	0.000630031024771004	0	0	0	0	0.00393628707433175	0	0	0	0.011690657829634	0	0.00411462695262717	0	0.0126335219535813	0	0.0204786893638807	0.00752330091173066	0	0	0	0	0.00167653787095359	0	0	0	0	0	0.0106516000555736
"16"	"Bilophila"	0.000359855558292627	0	0	0.00113424072591406	0	0	0	6.46907244282957e-05	0.000571737376743603	0	0	0	0.000327526851861741	0.00347989227463915	0	0	0	0	0	0	0	0	0	0	0.00330151869860136	0	0	0
"17"	"Blastocystis"	0	0	0	0	0	0	0.00211863391252247	0	0	0	0	0	0	0	0.00525359512105804	0	0	0.00533978367030259	0	0	0.000326090178756707	0	0	0	0	0	0	0
"18"	"Blautia"	0.0565336487650824	0.0682990149009566	0.173043244832479	0.0385480101252719	0.0480132047913771	0.0203483810221269	0.0234535650089874	0.0267172691888861	0.0518088047556019	0.0774045819093974	0.09143845248388	0.0108145504861086	0.0871185825207463	0.0270069900444821	0.135945576698263	0.0180148470497888	0.0680752127033119	0.0263946571737179	0.0757844014090934	0.0203677163097334	0.0268060949218866	0.0088762495691141	0.0599460692802323	0.0359798103812837	0.188996938591752	0.0282038951671075	0.0380088562595223	0.0131060991988144
"19"	"Butyricimonas"	0	0	0.00102263866341127	0.012446320692918	0	0	0.000301977231875374	0.00787070480544265	0.00124529099866072	0	0.00148959884998802	0	0.00696350567653875	0	0.00579585627966591	0	0	0.00220589353901389	0	0	0	0	0	0	0	0	0	0
"20"	"Butyrivibrio"	0.036364709635161	0.0501381035361618	0	0	0	0.0779607155934509	0.00215698022768125	0.00381675274126945	0	0	0	0	0	0	0.00584515274863026	0	0	0	0	0	0.0660110277769543	0	0.00758832883910669	0	0	0	0	0.0308896401611633
"21"	"Campylobacter"	0	0	0	0	0.00577378177181961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"22"	"Catenibacterium"	0	0	0	0	0.00434414656081032	0	0.00764050329538646	0	0	0	0	0	0	0	0.000457752926097551	0	0	0.00444221319580728	0	0.0150771876663527	0	0	0	0.0268399154218675	0	0	0.00155029090228712	0
"23"	"Chlamydia"	0	0	0	0	0	0	0	0	0	0	0	0	0.000316846628431467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"24"	"Clostridiales_Family_XIII_Incertae_Sedis_unclassified"	6.92466531730292e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000126762348765476	0	0	0	0	0	0	0	0	0	0	0	0	0
"25"	"Clostridiales_unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00592150120060475	0	0	0	0	0.00641981245491705	0	0
"26"	"Clostridium"	0.0142784328460715	0.00151736074066171	0.0063531426964425	0.00115445892067189	0.000461814156261117	0.00545980017785217	0.00190293588975434	0.0201403788720094	0	0.0190088255261371	0.0050313024094001	0.00122589180594497	0.00126738651372587	0.000900233001482737	0.262299469006606	0.00138231153206195	0	0.0179970486665754	0	0.000491380369354244	0.0304079091690629	0.0157782582808436	0.00667219802254028	0	0.00225103547631911	0.0250540995431594	0	0.00393646089010327
"27"	"Collinsella"	0.0130774007303819	0.0038052562324407	0.020286594485421	0.00360692594479624	0.0658825401104377	0.019674896688811	0.0133684841222289	0.0154287377761485	0.00421362614641176	0.0465209937059155	0.0113542849404681	0.00822925390525434	0.00240305027181169	0.0994568342058281	0.000169016465020634	0	0.0440737506853209	0.0460499292592762	0.0133973387847482	0.0189509029114287	0.00589185663889959	0.00756792328664097	0.0140358155292816	0.0334902121274129	0.122846509394321	0.0250781437845636	0.00693176047114588	0.0408465706478952
"28"	"Coprobacillus"	0	0	0	0	0	0	0	0	0.00955506300859173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0168110035659705
"29"	"Coprobacter"	0.000655005227554719	0	0	0	0	0	0	0.00475476824547974	0	0	0.00122917947061949	0	0.000833057427561385	0	0.000732404681756081	0	0	0	0	0	0	0	0	0	0	0	0	0
"30"	"Coprococcus"	0.030639941242512	0.032854416349562	0.143310025693796	0.0213059336357975	0.00682335939968579	0.103978134644557	0.0244409826243259	0.0301135322213717	0.0133300960988714	0.0160631479627648	0.0893342638985823	0.106494799062982	0.145977293844987	0.0406542197476322	0.105487401231003	0.0264623064123896	0.0667553353503767	0.0399342795855963	0.0281818679613777	0.0332255026411695	0.00791509797527644	0.0394378114129924	0.0786316808407661	0.0297046586181024	0.0359265262020529	0.0541235874008175	0.00490925452390923	0.0122261844116149
"31"	"Corynebacterium"	2.72445848549623e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"32"	"Desulfovibrio"	0.00225335420571251	0.000195597282975924	0	0	0	0	0	0	0	0	0	0.000339851193727318	0	0	0	0	0	0	0	0	0.00254202116621706	0	0	0	0	0	0	0
"33"	"Desulfovibrionaceae_unclassified"	0	0	0	0.00114637164276876	0	0	0	0	0	0	0.00052083875873707	0	0	0	0	0	0	0.00104970106339282	0	0	0	0	0	0	0	0	0	0
"34"	"Dialister"	1.24871013918577e-05	0.00299915833896416	0	0.000131418265925872	0	0.000156928388345452	0	0.000388144346569774	0	0	0	0.000315576108461081	0	0.0126789118528157	0	0.000217586074491233	0.013026174183199	0	0	0.0018181073666107	0	0	0	0	0	0	0	0
"35"	"Dielma"	7.03818442086527e-05	0	0.000396272482071866	0	0	0	0	0	0	0.0017374895002704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"36"	"Dorea"	0.0558582100988865	0.0463802648268668	0.0491633537434967	0.0254486417416762	0.0241535432635898	0.0284301930219177	0.0185883762732175	0.0230514614712827	0.0289549737235767	0.0411129138044116	0.0484692548880718	0.000837490441685176	0.0603076616362814	0.045526068932127	0.045845716136847	0.016786125687956	0.0205393221922148	0.0300914304839274	0.0211729059813459	0.0153474468694976	0.0173791242996472	0.0282739494218295	0.0142432413745419	0.0207693881727031	0.104147908037697	0.0432075018033181	0.0100501617113786	0.00606678090121799
"37"	"Eggerthella"	0.000731063026941489	0	0	8.08727790313059e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"38"	"Eisenbergiella"	5.22187876386778e-05	0	0	0	0	0	0	0.00380597095386473	0	0.00186406158307156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"39"	"Enorma"	0.000240660499552167	0	0	6.06545842734794e-06	0.000130368589566535	0	0	0	0	0	0	0	0	0.000173994613731958	0	0	0	0.000380326472243774	0	0	0	0	0	0	0.00114052464133501	0	0	0
"40"	"Enterococcus"	0.000406398390753188	0	0	0	0	0	0.0108328340323547	0.00117521482711404	0.000328944792099059	0.00102408321539117	0	0.00381118838679921	0	0	0	0	0	0	0	0	0.00321643494500934	0.000117514336749083	0	0	0	0.00437605193556143	0	0.00602046959662854
"41"	"Enterorhabdus"	9.08152828498744e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"42"	"Erysipelatoclostridium"	0.000383694570040719	0	0	0	0	0.000111157608411362	0	0.00133694163818478	0	0.0127837803629167	0.00232294086396733	0.0014443675733411	0	0	0	0	0	0	0.00766605216565974	0	0	0	0	0	0	0	0	0
"43"	"Escherichia"	0.018964501441125	0.00670957952511351	0.00426951641974204	0.00660932786633347	0	0.000379243605168175	0.00133253445176753	0	0.000642225546479116	0.00304923654020965	0.000427087782164398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0128877133926425	0	0
"44"	"Eubacterium"	0.0982496489421722	0.135993456381806	0.0318424113819683	0.0276402940534246	0.0306587149192488	0.0487458806298059	0.0408388256440983	0.0479142632265577	0.0572598898818148	0.103213780247851	0.0436983718580402	0.0481981817961136	0.095011267635719	0.0545057039973371	0.172502429611685	0.0889735056956355	0.0862793672711028	0.121263292410205	0.0175771624655484	0.0356742148151181	0.0360922538760264	0.160125035254301	0.0609486275323239	0.033797148898438	0.0784260759949577	0.0694157249338783	0.0425528123524328	0.163756773028296
"45"	"Faecalibacterium"	0.0292777119997639	0.0322854060718138	0.0892763553158036	0.0507112760915803	0.0226686671247981	0.0643667939530261	0.0379101258238466	0.0550410247010749	0.0514798599635028	0.0293302035509223	0.0395837456640173	0.0360485016203619	0.0167038694449488	0.112135746058644	0.00860575501063395	0.247619352361449	0.0538306901943266	0.114417415909817	0.049646814025225	0.0510707997215511	0.0592668899890315	0.0456190655259942	0.0232835511304709	0.0456312666257418	0.0746143225883907	0.0470305361865833	0.0506161069878917	0.121057750196823
"46"	"Faecalitalea"	0.00357244618910693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"47"	"Finegoldia"	4.65428324605606e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"48"	"Firmicutes_unclassified"	0.00304231197547079	0.00598646229714191	0	0.000125352807498524	0	0.00194852748862269	0.00117914919113241	0.00528307582831082	0.00325028782669309	0.0191929303738479	0.00737507682371691	0.00475791671218245	0.000430769011687725	0.000295034345023754	0	0	0.0113103336243832	0	0	0.000630604807337947	0	0	0.000795132406831224	0.0122433667553373	0	0.00528973310892041	0.0016661172340672	0
"49"	"Flavonifractor"	0	0	0	0.000867360555110755	0	0	0	0.000194072173284887	5.48241320165099e-05	0.00226679093743887	0	0.000267025937928607	0.000412968639303934	0	0	0.000684756175604761	0	0	0.00505594392830416	0	0	0	0	0	0	0	0.000347478995340218	0
"50"	"Fretibacterium"	3.1785348997456e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"51"	"Fusicatenibacter"	0.0238208486915221	0.013899261472077	0.0472842551994785	0.0143043727911622	0.00813367420668504	0.00608097504838625	0.011230677052127	0.0235797690541138	0.0269108168012469	0.0167995673536079	0.0370003854206815	0	0.0175974481386151	0.0239658667957757	0.00169720700291553	0.0452387047228977	0.00172599346153065	0.0177536397243394	0.010695968021611	0.00728880881208796	0.00904900246049862	0.0251950737990035	0.0229378413883703	0.0206670759156947	0.00246113212077556	0.00807886511180572	0.00581804574249133	0
"52"	"Fusobacterium"	0	0	0	0	0.0890174406657195	0	0	0	0	0	0	0.00137154231754239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"53"	"Gardnerella"	1.24871013918577e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"54"	"Gemella"	0	0.00152921512144813	0.0140868475884902	0.000331578394028354	0	0.000523094627818172	0.00355662073097663	0.00504587650540707	0.000227128546925541	0.0133706145649948	0.006364649631767	0.00854483001371542	0.00180139768523958	0.00061276363966472	0.00876772912294539	0.000639959042621272	0.00145186508822872	0.00290569424794243	0	0	0.000489135268135061	0	0.0304224573048468	0	0	0.00656407790334215	0.00556857364327272	0
"55"	"Gemmiger"	0.000603921630951665	0	0	0.00290535458669966	0	0	0.000814859197124026	0.000549871157640514	0.000180136433768533	0.000874498026626164	0	0	0.000452129458548273	0	0	0.00139511071291437	0	0	0	0.000262069530322264	0	0.000752091755194134	0	0	0	0	0	0
"56"	"Gordonibacter"	0.00062208468752164	0	0.000792544964143732	6.06545842734794e-06	0	0	0	0	0	0	0	0	0	0.000219384512966381	0	0.0003519774734417	0	0	0	0	0	0	0	0	0.0012605798667387	0	0	0
"57"	"Haemophilus"	0.000161197127058527	0	0	0	0	0	0.000330736968244458	0	0	0	0	0	0	0	0	0.00014079098937668	0	0	0	0	0	0	0	0	0	0	0	0
"58"	"Hafnia"	0	0	0	0.000115243710119611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"59"	"Holdemanella"	0	0	0	0	0.000528103269600034	0	0.00124146195326543	0.000916451929400856	0	0	0	0	0	0	0.0045845716136847	0	0	0	0	0.00539699439007412	0.000748525183055169	9.40114693992667e-05	0	0	0.0058827060447806	0	0.00082860375811898	0
"60"	"Holdemania"	7.60577993867698e-05	0	0	8.49164179828711e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"61"	"Hungatella"	0.000129411778061071	0	0	0	0	0	0	0	0.000548241320165099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"62"	"Intestinibacter"	0.00190258017570487	0.0060398070106808	0	0	0	0	0	0.032000345017197	0.00227128546925541	0	0.000906259440202502	0.00149291774387358	0	0	0.00018310117043902	0.00222065787789581	0.000395963205880561	0	0	0	0	0	0	0	0	0	0.0148257704678493	0
"63"	"Klebsiella"	0.00272332329446061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"64"	"Lachnoclostridium"	0.000398452053503824	0	0	6.06545842734794e-06	0	0	0	0	0	0	0	0	2.13604468605483e-05	0	0	0.00108793037245616	0	0	0	0	0	0	0	0	0	0	0.000418756737974108	0
"65"	"Lachnospira"	0.00159721378712217	0.0468425856775371	0	0.0112817526748672	0	0	0.00765967645296585	0.00735317901001628	0.0269029847823874	0.00319882172897465	0.0014583485244638	0	0	0.00279147880291706	0.0149649995070353	0	0.00849797957235974	0.00789557756378075	0.00177049300016427	0.000638794480160518	0.0157412622654374	0	0.00653391412570006	0	0	0.0286847799951912	0.00653973288665948	0.00115778261473626
"66"	"Lachnospiraceae_unclassified"	0.000543756506063623	0.108177151866472	0	0.0234753459333123	0.000713712786948999	0.00831720458230894	0.229042540443379	0.0759361286914145	0.236902906462199	0	0.174053896394754	0.0786027260920754	0.0608665933291324	0.124723878112991	0.0154861336075156	0.0225649558428261	0.0348447621174894	0.0825460575357887	0.00531147900049282	0.013144424880226	0.0516037707882489	0.107314092319263	0.0445965567309687	0.0762567355569197	0	0.132555902861265	0.029366429965163	0.0409855045616635
"67"	"Lactobacillus"	0.00165737891201021	0.0138222079969653	0	0.000345731130358833	0	0.00919338808390438	0.0037771120431396	0.000355798984355626	0	0	0	0	0	0.0100765576300421	0.00321131283539205	0.00913861512863177	0	0	0	0.0403423283239835	0	0	0	0	0	0	0	0
"68"	"Lactococcus"	0	0	0.00640427462961306	0	0	0	0.00115997603355303	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00098568167669641	0	0	0	0	0.0264486655446021	0	0
"69"	"Lawsonibacter"	0.000127141395989824	0	0	0	0	0	0	0	0	0	0	0	7.47615640119191e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"70"	"Mageeibacillus"	8.51393276717572e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"71"	"Megamonas"	0	0.00160034140616665	0	0	0.0121154402812426	0	0	0	0	0	0	0	0	0	0	0	0.00357382175563994	0	0	0.00553621882805782	0	0	0	0	0	0	0.000632589965875781	0
"72"	"Megasphaera"	0	0	0	0	0	0	0.00402156980227681	0	0	0	0	0	0	0.0049701939661694	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"73"	"Methanobrevibacter"	0.00670670863846322	0.0186113778346788	0.0103542164670391	0	0	0	0.0055122828040743	0	0	0	0.0388858217273097	0	0	0	0	0	0	0	0	0	0.00212699730234488	0	0	0	0	0.00764606876653042	0	0.0269994905756495
"74"	"Methanosphaera"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00985813897571532	0	0
"75"	"Mitsuokella"	0	0	0	0	0	0	0.000153385260635111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"76"	"Odoribacter"	0.0103949443132037	0.00213378854155553	0.0113129402139871	0.0139869471334643	0.000176770968903777	0.00521133022963854	0.00306770521270222	0.0066200174664956	0.00932010244280668	0.00505137675906429	0.0139897290596777	0.00199055699183143	0.0191532006849583	0	0.000915505852195101	0	0.0243162020021524	0.00486817884472031	0.00417982368080019	0	0.0019861856342454	0	0.00867731452672336	0.0191323920605689	0	0	0	0.00152827305145186
"77"	"Olsenella"	7.94633724936401e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000544678790813084	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"78"	"Oscillibacter"	0.00560897890701537	0.000889078558981472	0.000434621431949788	0.00360692594479624	0	0.00845451692211121	0.00471659676452966	0.00457147785959956	0.00149591560216477	0.0448180238645909	0.0110417816852259	0.00479432934008181	0.00788200489154233	0	0.000788743503429626	0	0.0233618291469531	0.050644273043981	0.00164272546406994	0.0012038819049179	0.00018527851065722	0.000932280404876062	0.0151420867040033	0.00436532296569129	0.00636292694639534	0.00418369800432796	0	0.0209327096744315
"79"	"Other"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"80"	"Parabacteroides"	0.011325800962415	0.0102658937610394	0.0198264070868859	0.0363462487161446	0.00114017274942936	0.0121815661453157	0.00597723187537448	0.0204638324941509	0.0173635858115146	0.0247390889111349	0.0191876998718737	0.0139217614001869	0.00818105114759001	0.0190108027960178	0.0147326018676319	0	0.0100006091741629	0.0174950177232136	0.00629711427893478	0.00055689775193481	0.0242047846322592	0.00180972078593588	0.00375095070179078	0.0197121615169497	0.02215018908698	0.00497715797066603	0.00440140060764276	0.00833603482610105
"81"	"Paraprevotella"	0	0.000497883993029624	0.00351532040547623	0.00566311635166719	0.000225382985352316	0.0101676518282157	0.00109766327142001	0	0.0044329226744778	0.00385469524894427	0	0.0132663340979985	0	0	0	0	0.00824415700448758	0	0.00633361928924745	0.00107284713975677	0.00823377701360685	0.0039484817147692	0	0	0.0201692778678192	0	0	0
"82"	"Parasutterella"	0.00256666693154457	0	0.0048830996177888	0.00741603383717075	0	0	0	0.00928311895546044	0	0	0	0	0	0	0	0	0.0110565110565111	0	0	0	0.0166157768357395	0	0	0	0.0350861396242271	0	0	0
"83"	"Parvimonas"	9.08152828498744e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"84"	"Pediococcus"	0	0	0	0	0	0	0.000325943678849611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"85"	"Peptoniphilus"	2.27038207124686e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"86"	"Peptostreptococcus"	0.000123735822882954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"87"	"Phascolarctobacterium"	0.0055817343221604	0	0.00145726009536106	0.0143933328480967	0	0	0.00718034751348113	0	0.000979002357437677	0.021724372029871	0.013656392254086	0	0	0	0.0032606093043564	0	0	0.0376218946343541	0.00259185573219924	0	0	0	0	0	0.000870400384176721	0	0.0123221397578339	0
"88"	"Prevotella"	0.0368721400280846	0.181603186457555	0.00337470758925718	0.266113901221988	0.547693912228795	0.200456400062771	0.12956261234272	0.0524102685743243	0	0.0668645793779557	0.133251388035292	0.446600881185595	0.050189929973335	0.177746845402003	0.0285144861195228	0	0.374520275346722	0.147764440996151	0.466095971672112	0.646132427009541	0.247117066374174	0.0950299269844254	0.151455438014243	0.418116090307619	0.000540248514316586	0.269511901899495	0.453183887666278	0.0996156161719076
"89"	"Proteobacteria_unclassified"	0.00015211559877354	0	0.0106354420994772	0.000458953021002661	0	0	0	0.00216713926834791	0	0	0	0	0	0	0	0	0.00553333197961297	0	0	0	0.000844870008596923	0	0	0	0.0291434059667447	0	0	0
"90"	"Romboutsia"	5.33539786743012e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"91"	"Roseburia"	0.0270674950534051	0.142762307810852	0.104283577701364	0.0766067399374045	0.0871790225891202	0.277926714442643	0.264512881965249	0.078383594432285	0.0888855820364815	0.159733968495058	0.0405941728559673	0.023765308475646	0.16635516014995	0.0792280691136866	0.0771137621656643	0.234980161269679	0.0389668406197332	0.11301781449196	0.112252906711446	0.0632897915728267	0.0948329528947914	0.178903826266805	0.214720320818641	0.114453311506719	0.0806170838585749	0.147992305842751	0.0601762342186623	0.0667345899133979
"92"	"Ruminococcaceae_unclassified"	0.000148710025666669	0	0	0.000105134612740698	0	0.00882068316158393	0.0186506890353505	0.0120540383184724	0	0.0759202365747293	0	0	0	0	0.000464795278806744	0	0	0	0	0	0.000422435004298461	0	0	0	0.0819677051443664	0	0.172242665074797	0.0346408558329088
"93"	"Ruminococcus"	0.0327888578729471	0.0224047796863331	0.0511063672039781	0.0202202165773022	0.00032481665536069	0.000353088873777266	0.0278346315158778	0.205382268272434	0	0.0178811833339087	0.0714382441483766	0.019869157290415	0.111095684121712	0.00587042696765213	0.0099860561416358	0.0330346857801101	0.00351290433935062	0	0.0188913428368043	0.0106957127062774	0.0685159932410399	0.148898498950205	0.0301977459724815	0	0	0.0193315700889637	0.0434526938531857	0.0244523688232298
"94"	"Ruthenibacterium"	0.000321259063081431	0	0	4.65018479430009e-05	0	0	0	0	0	0.00132325359292117	0.00117709559474578	0	0.000192244021744935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"95"	"Sellimonas"	0	0	0	0	0	0.000241931265365905	0	0	0	0	0	0	0	0.00153569159076467	0	0.00079994880327659	0	0	0	0	0	0	0	0	0	0	0	0
"96"	"Sharpea"	0	0	0	0	0.00110481855564861	0	0.000819652486518874	0	0	0	0	0	0	0	0	0	0	0	0	0.000450432005241391	0	0	0	0.00211445331150672	0	0	0.000383117866657163	0
"97"	"Slackia"	0.000745820510404593	0.00269687162891046	0	0	0.0133196925068996	0.00018308311973636	0.000167765128819652	0	0	0	0	0	0.000103242159825984	0	0	0	0	0.0133266395874218	0	0	0.000340912459609285	0.00410516749710131	0	0.000545665370711411	0.034005642595594	0	0.00209378368987054	0
"98"	"Streptococcus"	0.000821878309791363	0.0104318550920493	0.0223574377788288	0.00222400142336091	0.00802540198823147	0	0.0435614140203715	0.00226417535499035	0.00196583673373485	0.0077324036038524	0.00264586089438432	0.0120404422920536	0.0022998081119857	0.0132614155596575	0	0.00103033405862025	0	0.0094625226294251	0	0.000458621678063961	0	0.000712920309611106	0.0488487865588052	0.00180751654048155	0	0	0	0
"99"	"Sutterella"	0	0.000983913605272828	0	0	0.00978869240304665	0.00122273369252498	0.0046399041342121	0	0	0.00363607074228773	0.00244794216606423	0.0100741603854884	0.0021645252818689	0.0121417980452083	0.000260567050240144	0	0	0	0	0.00228491871749724	0	0.00163736642537056	0.00541035746387333	0	0	0.000745371483529695	0.0028689291410141	0.00129671652850461
"100"	"Turicimonas"	0.000256553174050895	0	0.00396272482071866	8.08727790313058e-05	0	0	0	0.00154179559887438	0	0	0	0	0	0	0	0	0.00354336304749528	0	0	0	0.00219369756618148	0	0	0	0.0161174140104448	0	0	0
"101"	"Veillonella"	0	0	0	0	0.000260737179133071	0	0.000143798681845416	0	0	0	0	0	0	0	0	0.0040765391014975	0	0	0	0	0	0	0	0	0	0	0	0
