"OTU"	"RL725.mf"	"RL700.mf"	"RL693.mf"	"RL691.mf"	"RL686.mf"	"RL682.mf"	"RL680.mf"	"RL679.mf"	"RL668.mf"	"RL667.mf"	"RL665.mf"	"RL663.mf"	"RL659.mf"	"RL656.mf"	"RL654.mf"	"RL627.mf"	"RL616.mf"	"RL613.mf"	"RL606.mf"	"RL601.mf"	"RL585.mf"	"RL573.mf"	"RL568.mf"	"RL528.mf"	"RL518.mf"	"RL516.mf"	"RL511.mf"	"RL509.mf"
"1"	"Acidaminococcus"	0	0	0	0	0	0	0.00359017375674056	0	0	0.000816965261716548	0	0.0570464503756569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000400937302315636	0
"2"	"Actinomyces"	0.000101032002170485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3"	"Adlercreutzia"	0.000265634702335883	0	5.11319331705633e-05	4.85236674187835e-05	0	0	0	0	0	0	0	0	2.13604468605483e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4"	"Agathobaculum"	9.08152828498744e-05	0.00125656436336048	0	0.000723811372330187	0.00143847375945448	0.000431553067949992	0.000838825644098262	0	0.000242792584644544	0.000391222801385389	0.00138543109824061	0	2.84805958140644e-05	0.00203498048234333	0	0.0066875719953923	0.00739131317643714	0.0125964127607138	0.00178874550532061	0.00516768355104214	0	0.00846886653505061	0	0	0.0270124257158293	0.000360663621062755	0.00219179058599214	0
"5"	"Akkermansia"	0	0.00119136526903517	0.000383489498779225	0.000541847619509749	0	0.00547941622639535	0	0	0	0.00693845144809969	0.0101563557953729	0	0	0	0	0	0	0	0	0	0.00578810067293155	0.00103412616339193	0.0108207149277467	0	0	0	0	0
"6"	"Alistipes"	0.0444915422591891	0.00559526773119006	0.0352426849378108	0.040025960162069	0	0.0116650102003452	0.00213780707010186	0.0218870284315734	0.0632670483470524	0.0181458340524929	0.0145522349191137	0.0405029797667164	0.0010181813003528	0	0.00128875054578233	0	0.0134525960972242	0.04276390853909	0	0	0.000592891234103104	0.00149634922127166	0.055832123349236	0.025475751995089	0	0	0	0.108553697957671
"7"	"Allisonella"	0.000414344728002552	0	0	0	0.000338074478028473	6.53868284772715e-05	0	0	0	0	0	0	2.13604468605483e-05	0	0	0	0	0	0	0.000155603783628844	0	0	0	0	0	0	0	0
"8"	"Anaerofustis"	0	0	0	0	0	0	0	0	0	0	0	0.000995278495915717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"9"	"Anaerostipes"	0.0135587217294862	0.0100525149068838	0.00611026601388232	0.00217345593646634	0.00447672478748815	0.000300779410995449	0.00277531455961654	5.39089370235798e-05	0.00836459614194751	0.00331388725879388	0.00261461056886009	0.00808360339365692	0.00484882143734447	0.00439525524253336	0	0.0241712530398055	0	0	0.00907149506269735	0	0	0.0215051236250823	0.00406208946968126	0	0	0.00278913200288531	0.000409847020144872	0
"10"	"Anaerotignum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000105909764880322	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"11"	"Asaccharobacter"	0.000147574834631046	0	0	4.04363895156529e-05	0	0	0	0	0	0	0	0	6.7641415058403e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"12"	"Atopobium"	0.000316718298938937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
