"muestra"	"Datos crudos"	"Filtrado de calidad"	"Remoción de ribosomales"	"Remoción de humano"
RL509-mf	27999940	27589541	5706535	5630045
RL511-mf	30998491	30478854	9180674	9055108
RL514-mf	20117079	19374301	6252404	5510786
RL516-mf	31552938	31016313	8853766	8762865
RL518-mf	56895697	56094586	4809356	4657449
RL528-mf	32971762	32332728	6405748	6306378
RL568-mf	33207081	32492292	8855515	8640462
RL569-mf	49861019	48811970	6214133	5995565
RL573-mf	28357329	27874938	10815895	10608066
RL585-mf	32025152	31629982	10239080	10150678
RL591-mf	31540549	31136466	8210666	8124288
RL601-mf	28068516	27663543	9371379	9273199
RL605-mf	26876370	26481982	7265830	7161657
RL606-mf	28793733	28376181	7357709	7283744
RL607-mf	51764078	50693475	5690938	5473819
RL610-mf	57625638	57048019	6785643	6629981
RL613-mf	51539675	51002731	8297809	8193072
RL616-mf	53962010	53426866	6199264	6105152
RL619-mf	43731550	43178572	2935409	2843407
RL621-mf	44568009	43563548	2972575	2873077
RL625-mf	5975828	4831088	1783499	1344068
RL627-mf	45807375	45333157	7575995	7470411
RL628-mf	44035445	43597678	7179152	7084851
RL641-mf	44000337	43315372	4707549	4568980
RL651-mf	52962161	52548713	13830518	13685842
RL654-mf	32638546	31922810	12666351	12195788
RL656-12	50496415	49415603	9408502	9137285
RL656-3	44769744	44167850	7478548	7333460
RL656-6	55301408	54519994	10575784	10305705
RL656-mf	45012327	44454420	4770036	4636856
RL659-mf	53142438	52394528	12408590	12179474
RL663-mf	51835717	51116128	6255899	6125258
RL665-mf	50337087	49555871	10559555	10302402
RL667-mf	54122891	53534451	8493796	8330214
RL668-mf	50983021	50388490	7040539	6858945
RL679-mf	42933500	42082510	11021517	10689179
RL680-mf	42156952	41651107	14507013	14293252
RL682-mf	43206398	42586730	9491540	9299099
RL683-mf	47182377	46300052	10148959	9879411
RL686-mf	60731285	59831955	15315924	14988255
RL691-mf	39782722	39012019	14907759	14572275
RL693-mf	51456634	50203773	6961620	6628351
RL700-mf	42622975	41622381	9994340	9741480
RL703-mf	48975608	47812064	6789508	6471523
RL704-mf	54796438	53487209	7595842	7118637
RL725-mf	43811504	43194865	26010606	25601672
